Orthogroup	s288c	W29	DMKU3-1042
OG0002306	sp|P32832|RSC7_YEAST	tr|A0A1D8NAV1|A0A1D8NAV1_YARLL	tr|W0T4R4|W0T4R4_KLUMD
OG0002307		"tr|A0A1H6PKS0|A0A1H6PKS0_YARLL, tr|A0A1H6Q7Z6|A0A1H6Q7Z6_YARLL"	tr|W0TG06|W0TG06_KLUMD
OG0002308	sp|P33303|SFC1_YEAST	tr|A0A1D8NL91|A0A1D8NL91_YARLL	tr|W0THF0|W0THF0_KLUMD
OG0002309	sp|P40357|SEC9_YEAST	tr|A0A1D8NJ23|A0A1D8NJ23_YARLL	tr|W0T5X7|W0T5X7_KLUMD
OG0002310	sp|Q03390|VPS60_YEAST	tr|A0A1D8N756|A0A1D8N756_YARLL	tr|W0T6R5|W0T6R5_KLUMD
OG0002311	sp|Q06315|SKG3_YEAST	tr|A0A1D8NPN1|A0A1D8NPN1_YARLL	tr|W0T2S0|W0T2S0_KLUMD
OG0002312	sp|P06844|SPT3_YEAST	tr|A0A1D8NJE3|A0A1D8NJE3_YARLL	tr|W0T7J4|W0T7J4_KLUMD
OG0002313	sp|Q01855|RS15_YEAST	tr|A0A1D8NM52|A0A1D8NM52_YARLL	tr|W0T9R4|W0T9R4_KLUMD
OG0002314	sp|P33202|UFD4_YEAST	tr|A0A1D8NH87|A0A1D8NH87_YARLL	tr|W0TB98|W0TB98_KLUMD
OG0002315	sp|P32318|THI4_YEAST	tr|A0A1D8N493|A0A1D8N493_YARLL	tr|W0TEV6|W0TEV6_KLUMD
OG0002316	sp|Q04081|LCMT1_YEAST	tr|A0A1H6PY21|A0A1H6PY21_YARLL	tr|W0TCT2|W0TCT2_KLUMD
OG0002317	sp|P04161|PUR3_YEAST	tr|A0A1D8ND08|A0A1D8ND08_YARLL	tr|W0T966|W0T966_KLUMD
OG0002318	sp|Q01590|SED5_YEAST	tr|A0A1H6Q4Q1|A0A1H6Q4Q1_YARLL	tr|W0TDA8|W0TDA8_KLUMD
OG0002319	sp|P25615|DPO4_YEAST	tr|A0A1D8NEA0|A0A1D8NEA0_YARLL	tr|W0T528|W0T528_KLUMD
OG0002320	sp|Q06706|ELP1_YEAST	tr|A0A1D8NPB9|A0A1D8NPB9_YARLL	tr|W0TGK0|W0TGK0_KLUMD
OG0002321	sp|P48582|BRO1_YEAST	tr|A0A1H6PWI4|A0A1H6PWI4_YARLL	tr|W0T8J3|W0T8J3_KLUMD
OG0002322	sp|P53045|MSMO_YEAST	tr|A0A1D8NMZ2|A0A1D8NMZ2_YARLL	tr|W0TD26|W0TD26_KLUMD
OG0002323	sp|P53011|SEH1_YEAST	tr|A0A1D8N835|A0A1D8N835_YARLL	tr|W0T9V2|W0T9V2_KLUMD
OG0002324	sp|P22354|RM20_YEAST	tr|A0A1H6PR62|A0A1H6PR62_YARLL	tr|W0T359|W0T359_KLUMD
OG0002325	sp|P15179|SYDM_YEAST	tr|A0A1D8NQ41|A0A1D8NQ41_YARLL	tr|W0T8M0|W0T8M0_KLUMD
OG0002326	sp|P41819|DIM1_YEAST	tr|A0A1D8NGM1|A0A1D8NGM1_YARLL	tr|W0TFD3|W0TFD3_KLUMD
OG0002327	sp|P37254|PABS_YEAST	tr|A0A1D8N3R7|A0A1D8N3R7_YARLL	tr|W0TGU3|W0TGU3_KLUMD
OG0002328	sp|P33313|CNS1_YEAST	tr|A0A1D8NMU8|A0A1D8NMU8_YARLL	tr|W0T890|W0T890_KLUMD
OG0002329	sp|P38066|RIB1_YEAST	tr|A0A1H6Q6K1|A0A1H6Q6K1_YARLL	tr|W0TEX6|W0TEX6_KLUMD
OG0002330	sp|P32363|GPI3_YEAST	tr|A0A1H6PWT1|A0A1H6PWT1_YARLL	tr|W0TAB5|W0TAB5_KLUMD
OG0002331	sp|P47048|YJE9_YEAST	tr|A0A1D8NE18|A0A1D8NE18_YARLL	tr|W0TF16|W0TF16_KLUMD
OG0002332	sp|Q12344|GYP5_YEAST	tr|A0A1H6PKS2|A0A1H6PKS2_YARLL	tr|W0TC45|W0TC45_KLUMD
OG0002333	sp|P31385|DEP1_YEAST	tr|A0A1D8NM74|A0A1D8NM74_YARLL	tr|W0T600|W0T600_KLUMD
OG0002334	sp|P40858|RN49_YEAST	tr|A0A1H6Q0A4|A0A1H6Q0A4_YARLL	tr|W0TBI8|W0TBI8_KLUMD
OG0002335	sp|P30657|PSB7_YEAST	tr|A0A1D8NKY4|A0A1D8NKY4_YARLL	tr|W0TF50|W0TF50_KLUMD
OG0002336	sp|P46677|TAF1_YEAST	tr|A0A1H6PSX0|A0A1H6PSX0_YARLL	tr|W0T4Z0|W0T4Z0_KLUMD
OG0002337	sp|P25359|RRP43_YEAST	tr|A0A1H6PHU5|A0A1H6PHU5_YARLL	tr|W0T2Z6|W0T2Z6_KLUMD
OG0002338	sp|P0C074|YSF3_YEAST	tr|A0A1H6Q4X3|A0A1H6Q4X3_YARLL	tr|W0T3K6|W0T3K6_KLUMD
OG0002339	sp|P39707|SEN34_YEAST	tr|A0A1D8NKB8|A0A1D8NKB8_YARLL	tr|W0T4U3|W0T4U3_KLUMD
OG0002340	sp|P25635|PWP2_YEAST	tr|A0A1D8N5Z5|A0A1D8N5Z5_YARLL	tr|W0T9S3|W0T9S3_KLUMD
OG0002341	sp|Q07623|NOP6_YEAST	tr|A0A1D8NK04|A0A1D8NK04_YARLL	tr|W0T8Q4|W0T8Q4_KLUMD
OG0002342	sp|Q07540|FRDA_YEAST	tr|A0A1H6PZA8|A0A1H6PZA8_YARLL	tr|W0TGE0|W0TGE0_KLUMD
OG0002343	sp|P53146|USE1_YEAST	tr|A0A1D8NC57|A0A1D8NC57_YARLL	tr|W0T752|W0T752_KLUMD
OG0002344	sp|Q03697|YMD8_YEAST	tr|A0A1H6Q030|A0A1H6Q030_YARLL	tr|W0T5K8|W0T5K8_KLUMD
OG0002345	sp|P07259|PYR1_YEAST	tr|A0A1D8NHR9|A0A1D8NHR9_YARLL	tr|W0TE50|W0TE50_KLUMD
OG0002346	sp|Q02196|KAPS_YEAST	tr|A0A1D8NGK0|A0A1D8NGK0_YARLL	tr|W0T7J3|W0T7J3_KLUMD
OG0002347	sp|P52553|PFD6_YEAST	tr|A0A1H6Q682|A0A1H6Q682_YARLL	tr|W0TBF5|W0TBF5_KLUMD
OG0002348	sp|O75012|MRP10_YEAST	tr|A0A1D8NMT8|A0A1D8NMT8_YARLL	tr|W0THF3|W0THF3_KLUMD
OG0002349	sp|Q12150|CSF1_YEAST	tr|A0A1D8NHU8|A0A1D8NHU8_YARLL	tr|W0T9Q8|W0T9Q8_KLUMD
OG0002350	sp|P33757|SPO23_YEAST		"tr|W0T7M4|W0T7M4_KLUMD, tr|W0T9Y5|W0T9Y5_KLUMD"
OG0002351	sp|Q06078|UTP21_YEAST	tr|A0A1H6PWF1|A0A1H6PWF1_YARLL	tr|W0TCL2|W0TCL2_KLUMD
OG0002352	sp|Q06344|ESF1_YEAST	tr|A0A1H6Q5D7|A0A1H6Q5D7_YARLL	tr|W0TH53|W0TH53_KLUMD
OG0002353	sp|P51534|SHE4_YEAST	tr|A0A1D8NJG0|A0A1D8NJG0_YARLL	tr|W0TDG0|W0TDG0_KLUMD
OG0002354	sp|P19735|PRP6_YEAST	tr|A0A1D8NBU8|A0A1D8NBU8_YARLL	tr|W0TGD5|W0TGD5_KLUMD
OG0002355	sp|P40360|NAGS_YEAST	tr|A0A1D8N822|A0A1D8N822_YARLL	tr|W0T778|W0T778_KLUMD
OG0002356	sp|P19541|RDS2_YEAST	tr|A0A1D8NHV1|A0A1D8NHV1_YARLL	tr|W0T755|W0T755_KLUMD
OG0002357	sp|Q06132|SGD1_YEAST	tr|A0A1D8NET3|A0A1D8NET3_YARLL	tr|W0TB69|W0TB69_KLUMD
OG0002358	sp|P29029|CHIT_YEAST	tr|A0A1D8N3E3|A0A1D8N3E3_YARLL	tr|W0T491|W0T491_KLUMD
OG0002359	sp|P08638|LEUR_YEAST	tr|A0A1D8NEI8|A0A1D8NEI8_YARLL	tr|W0TDK6|W0TDK6_KLUMD
OG0002360	sp|Q04082|GPI19_YEAST	tr|A0A1D8NIU8|A0A1D8NIU8_YARLL	tr|W0TES4|W0TES4_KLUMD
OG0002361	sp|P47051|LPLA_YEAST	tr|A0A1D8N9J9|A0A1D8N9J9_YARLL	tr|W0TF59|W0TF59_KLUMD
OG0002362	sp|Q12094|TSR3_YEAST	tr|A0A1D8NF86|A0A1D8NF86_YARLL	tr|W0TG74|W0TG74_KLUMD
OG0002363	sp|Q03201|RT10_YEAST	tr|A0A1D8NPL6|A0A1D8NPL6_YARLL	tr|W0TDE4|W0TDE4_KLUMD
OG0002364	sp|P28737|MSP1_YEAST	tr|A0A1H6PQG1|A0A1H6PQG1_YARLL	tr|W0TDI9|W0TDI9_KLUMD
OG0002365	sp|P34216|EDE1_YEAST	tr|A0A1D8NCG8|A0A1D8NCG8_YARLL	tr|W0TE80|W0TE80_KLUMD
OG0002366	sp|Q05863|YL281_YEAST	tr|A0A1D8N5Z9|A0A1D8N5Z9_YARLL	tr|W0T6Y2|W0T6Y2_KLUMD
OG0002367	sp|P46995|SET2_YEAST	tr|A0A1H6Q9F0|A0A1H6Q9F0_YARLL	tr|W0T3M6|W0T3M6_KLUMD
OG0002368	sp|Q05787|HRD3_YEAST	tr|A0A1D8NLJ5|A0A1D8NLJ5_YARLL	tr|W0TIX3|W0TIX3_KLUMD
OG0002369	sp|P33203|PRP40_YEAST	tr|A0A1H6PVE2|A0A1H6PVE2_YARLL	tr|W0TEG1|W0TEG1_KLUMD
OG0002370	sp|P53264|CLD1_YEAST	tr|A0A1D8NF11|A0A1D8NF11_YARLL	tr|W0TBC3|W0TBC3_KLUMD
OG0002371	sp|Q04013|YHM2_YEAST	tr|A0A1H6PIB0|A0A1H6PIB0_YARLL	tr|W0T581|W0T581_KLUMD
OG0002372	sp|P15496|IDI1_YEAST	tr|A0A1D8NLW7|A0A1D8NLW7_YARLL	tr|W0TB79|W0TB79_KLUMD
OG0002373	sp|P29295|HRR25_YEAST	tr|A0A1D8NMI9|A0A1D8NMI9_YARLL	tr|W0T5C4|W0T5C4_KLUMD
OG0002374	sp|P39904|VPS52_YEAST	tr|A0A1D8NMD5|A0A1D8NMD5_YARLL	tr|W0T428|W0T428_KLUMD
OG0002375	sp|P38304|MED8_YEAST	tr|A0A1D8N645|A0A1D8N645_YARLL	tr|W0T8I2|W0T8I2_KLUMD
OG0002376	sp|P38356|BSD2_YEAST	tr|A0A1D8NQ18|A0A1D8NQ18_YARLL	tr|W0TFM7|W0TFM7_KLUMD
OG0002377	sp|P40210|SIP5_YEAST	tr|A0A1H6PV96|A0A1H6PV96_YARLL	tr|W0T4L8|W0T4L8_KLUMD
OG0002378	sp|Q12447|PAA1_YEAST	tr|A0A1D8N7R8|A0A1D8N7R8_YARLL	tr|W0T8R7|W0T8R7_KLUMD
OG0002379	sp|P25335|ALLC_YEAST	tr|A0A1D8NF40|A0A1D8NF40_YARLL	tr|W0TCK2|W0TCK2_KLUMD
OG0002380	sp|P53217|YG1I_YEAST	tr|A0A1D8NCL0|A0A1D8NCL0_YARLL	tr|W0TBU6|W0TBU6_KLUMD
OG0002381	sp|Q06063|DUS4_YEAST	tr|A0A1D8NK15|A0A1D8NK15_YARLL	tr|W0TA25|W0TA25_KLUMD
OG0002382	sp|P53722|ATP23_YEAST	tr|A0A1H6PYU4|A0A1H6PYU4_YARLL	tr|W0TAE2|W0TAE2_KLUMD
OG0002383	sp|P53721|RCF2_YEAST	tr|A0A1H6PNN8|A0A1H6PNN8_YARLL	tr|W0TFB2|W0TFB2_KLUMD
OG0002384	sp|P27801|PEP3_YEAST	tr|A0A1D8N5F4|A0A1D8N5F4_YARLL	tr|W0TDN6|W0TDN6_KLUMD
OG0002385	sp|P27514|PHO91_YEAST	tr|A0A1H6PP29|A0A1H6PP29_YARLL	tr|W0TG19|W0TG19_KLUMD
OG0002386	sp|P53295|RBG2_YEAST	tr|A0A1H6PI78|A0A1H6PI78_YARLL	tr|W0T7A1|W0T7A1_KLUMD
OG0002387	sp|Q03151|MTG1_YEAST	tr|A0A1H6Q2W4|A0A1H6Q2W4_YARLL	tr|W0TCP4|W0TCP4_KLUMD
OG0002388	sp|Q12395|DCN1_YEAST	tr|A0A1H6PNH2|A0A1H6PNH2_YARLL	tr|W0TG89|W0TG89_KLUMD
OG0002389	sp|P38335|MTC4_YEAST	tr|A0A1D8NGY9|A0A1D8NGY9_YARLL	tr|W0TBU4|W0TBU4_KLUMD
OG0002390	sp|P37296|STV1_YEAST	tr|A0A1D8NHU2|A0A1D8NHU2_YARLL	tr|W0TEJ1|W0TEJ1_KLUMD
OG0002391	sp|P47061|VPS53_YEAST	tr|A0A1D8NE76|A0A1D8NE76_YARLL	tr|W0T8L2|W0T8L2_KLUMD
OG0002392	sp|P48525|SYEM_YEAST	tr|A0A1D8NIW0|A0A1D8NIW0_YARLL	tr|W0T9R1|W0T9R1_KLUMD
OG0002393	sp|Q04373|PUF6_YEAST	tr|A0A1D8NNU4|A0A1D8NNU4_YARLL	tr|W0THN2|W0THN2_KLUMD
OG0002394	sp|P52593|NU188_YEAST	tr|A0A1D8NNA9|A0A1D8NNA9_YARLL	tr|W0T8U9|W0T8U9_KLUMD
OG0002395	sp|P09032|EI2BG_YEAST	tr|A0A1D8NJG9|A0A1D8NJG9_YARLL	tr|W0T820|W0T820_KLUMD
OG0002396	sp|Q04179|URH1_YEAST	tr|A0A1D8NLU0|A0A1D8NLU0_YARLL	tr|W0T754|W0T754_KLUMD
OG0002397	sp|P53829|CAF40_YEAST	tr|A0A1D8NLS1|A0A1D8NLS1_YARLL	tr|W0TF35|W0TF35_KLUMD
OG0002398	sp|P04821|CDC25_YEAST	tr|A0A1D8NFQ7|A0A1D8NFQ7_YARLL	tr|W0TAM8|W0TAM8_KLUMD
OG0002399	sp|P32844|SEC6_YEAST	tr|A0A1D8NDU3|A0A1D8NDU3_YARLL	tr|W0TGS2|W0TGS2_KLUMD
OG0002400	sp|P05626|ATPF_YEAST	tr|A0A1H6PP25|A0A1H6PP25_YARLL	tr|W0T470|W0T470_KLUMD
OG0002401	sp|P06105|SC160_YEAST	tr|A0A1D8N8S6|A0A1D8N8S6_YARLL	tr|W0T3Q1|W0T3Q1_KLUMD
OG0002402	sp|P40558|CFD1_YEAST	tr|A0A1D8NJ28|A0A1D8NJ28_YARLL	tr|W0TBM5|W0TBM5_KLUMD
OG0002403	sp|P47153|TDA4_YEAST	tr|A0A1H6PRY5|A0A1H6PRY5_YARLL	tr|W0THW3|W0THW3_KLUMD
OG0002404	sp|Q02981|YP109_YEAST	tr|A0A1H6PKD2|A0A1H6PKD2_YARLL	tr|W0T8N3|W0T8N3_KLUMD
OG0002405	sp|P38887|YH02_YEAST	tr|A0A1H6QA61|A0A1H6QA61_YARLL	tr|W0TA50|W0TA50_KLUMD
OG0002406	sp|P49955|SF3B1_YEAST	tr|A0A1D8N8N1|A0A1D8N8N1_YARLL	tr|W0T5K1|W0T5K1_KLUMD
OG0002407	sp|P10663|RT02_YEAST	tr|A0A1H6Q5A6|A0A1H6Q5A6_YARLL	tr|W0TEP3|W0TEP3_KLUMD
OG0002408	sp|P53008|CWH41_YEAST	tr|A0A1H6PZL4|A0A1H6PZL4_YARLL	tr|W0T6S2|W0T6S2_KLUMD
OG0002409	sp|P53914|NAT10_YEAST	tr|A0A1H6PSH8|A0A1H6PSH8_YARLL	tr|W0TFF4|W0TFF4_KLUMD
OG0002410	sp|P36120|DBP7_YEAST	tr|A0A1D8NFV7|A0A1D8NFV7_YARLL	tr|W0T4Q6|W0T4Q6_KLUMD
OG0002411	sp|P10964|RPA1_YEAST	tr|A0A1H6PZR1|A0A1H6PZR1_YARLL	tr|W0TDS4|W0TDS4_KLUMD
OG0002412	sp|P26637|SYLC_YEAST	tr|A0A1D8NJV2|A0A1D8NJV2_YARLL	tr|W0TEU3|W0TEU3_KLUMD
OG0002413	sp|P10081|IF4A_YEAST	tr|A0A1H6PW76|A0A1H6PW76_YARLL	tr|W0T3J8|W0T3J8_KLUMD
OG0002414	sp|Q99260|YPT6_YEAST	tr|A0A1D8N8T6|A0A1D8N8T6_YARLL	tr|W0T9B2|W0T9B2_KLUMD
OG0002415	sp|Q12287|COX17_YEAST	tr|A0A1D8NBJ3|A0A1D8NBJ3_YARLL	tr|W0T9N2|W0T9N2_KLUMD
OG0002416	sp|P22203|VATE_YEAST	tr|A0A1D8NNL2|A0A1D8NNL2_YARLL	tr|W0TCJ8|W0TCJ8_KLUMD
OG0002417		"tr|A0A1D8N8G2|A0A1D8N8G2_YARLL, tr|A0A1D8NHQ4|A0A1D8NHQ4_YARLL"	tr|W0TEL7|W0TEL7_KLUMD
OG0002418	sp|P32452|PHA2_YEAST	tr|A0A1D8N877|A0A1D8N877_YARLL	tr|W0TF75|W0TF75_KLUMD
OG0002419	sp|P39709|SEO1_YEAST	tr|A0A1D8NNF3|A0A1D8NNF3_YARLL	tr|W0TDU9|W0TDU9_KLUMD
OG0002420	sp|P05317|RLA0_YEAST	tr|A0A1D8N7R3|A0A1D8N7R3_YARLL	tr|W0TFI4|W0TFI4_KLUMD
OG0002421	sp|P33400|PACC_YEAST	tr|A0A1D8N7P8|A0A1D8N7P8_YARLL	tr|W0T781|W0T781_KLUMD
OG0002422	sp|P38902|RPB11_YEAST	tr|A0A1D8NGB3|A0A1D8NGB3_YARLL	tr|W0T4E0|W0T4E0_KLUMD
OG0002423	sp|Q04174|SMP3_YEAST	tr|A0A1D8N9A3|A0A1D8N9A3_YARLL	tr|W0T536|W0T536_KLUMD
OG0002424	sp|Q07527|TRM3_YEAST	tr|A0A1D8NE66|A0A1D8NE66_YARLL	tr|W0TH71|W0TH71_KLUMD
OG0002425	sp|P33754|SEC66_YEAST	tr|A0A1D8NI84|A0A1D8NI84_YARLL	tr|W0T5W0|W0T5W0_KLUMD
OG0002426	sp|P25371|ADP1_YEAST	tr|A0A1D8NCG1|A0A1D8NCG1_YARLL	tr|W0TA08|W0TA08_KLUMD
OG0002427	sp|P49018|GPI8_YEAST	tr|A0A1D8NME8|A0A1D8NME8_YARLL	tr|W0TH18|W0TH18_KLUMD
OG0002428	sp|Q03784|TRS23_YEAST	tr|A0A1D8N8V5|A0A1D8N8V5_YARLL	tr|W0TFS1|W0TFS1_KLUMD
OG0002429	sp|Q04410|GRH1_YEAST	tr|A0A1D8NGW6|A0A1D8NGW6_YARLL	tr|W0T280|W0T280_KLUMD
OG0002430	sp|P32807|KU70_YEAST	tr|A0A1H6PRX6|A0A1H6PRX6_YARLL	tr|W0T522|W0T522_KLUMD
OG0002431	sp|P25270|MRM1_YEAST	tr|A0A1D8NQB2|A0A1D8NQB2_YARLL	tr|W0TD01|W0TD01_KLUMD
OG0002432	sp|O14467|MBF1_YEAST	tr|A0A1D8N7H6|A0A1D8N7H6_YARLL	tr|W0TD63|W0TD63_KLUMD
OG0002433	sp|P22276|RPC2_YEAST	tr|A0A1H6PHP5|A0A1H6PHP5_YARLL	tr|W0TAM7|W0TAM7_KLUMD
OG0002434	sp|Q05521|DPP1_YEAST	tr|A0A1D8N7T1|A0A1D8N7T1_YARLL	tr|W0T7V9|W0T7V9_KLUMD
OG0002435	sp|Q12291|BMT6_YEAST	tr|A0A1H6PKF9|A0A1H6PKF9_YARLL	tr|W0TFT4|W0TFT4_KLUMD
OG0002436	sp|Q05776|UPS1_YEAST	tr|A0A1D8NBZ7|A0A1D8NBZ7_YARLL	tr|W0TC24|W0TC24_KLUMD
OG0002437	sp|P41543|OST1_YEAST	tr|A0A1D8NNJ1|A0A1D8NNJ1_YARLL	tr|W0T4N6|W0T4N6_KLUMD
OG0002438	sp|P49334|TOM22_YEAST	tr|A0A1D8NAL7|A0A1D8NAL7_YARLL	tr|W0TDW3|W0TDW3_KLUMD
OG0002439	sp|P35184|SQT1_YEAST	tr|A0A1D8N9A4|A0A1D8N9A4_YARLL	tr|W0TCH1|W0TCH1_KLUMD
OG0002440	sp|P40312|CYB5_YEAST	tr|A0A1D8NE95|A0A1D8NE95_YARLL	tr|W0THD6|W0THD6_KLUMD
OG0002441	sp|P40085|TAPT1_YEAST	tr|A0A1D8N5T3|A0A1D8N5T3_YARLL	tr|W0T7P6|W0T7P6_KLUMD
OG0002442	sp|Q06116|YP117_YEAST	tr|A0A1D8NKN1|A0A1D8NKN1_YARLL	tr|W0TCF0|W0TCF0_KLUMD
OG0002443	sp|P07236|SYTM_YEAST	tr|A0A1H6PVZ4|A0A1H6PVZ4_YARLL	tr|W0T5B1|W0T5B1_KLUMD
OG0002444	sp|P32600|TOR2_YEAST	tr|A0A1D8NMD0|A0A1D8NMD0_YARLL	tr|W0T977|W0T977_KLUMD
OG0002445	sp|P47014|YJN2_YEAST	tr|A0A1H6PWT7|A0A1H6PWT7_YARLL	tr|W0TDB1|W0TDB1_KLUMD
OG0002446	sp|P53239|COX18_YEAST	tr|A0A1H6Q0G1|A0A1H6Q0G1_YARLL	tr|W0TC02|W0TC02_KLUMD
OG0002447	sp|P18544|ARGD_YEAST	tr|A0A1H6PUF8|A0A1H6PUF8_YARLL	tr|W0TIQ0|W0TIQ0_KLUMD
OG0002448	sp|P32366|VA0D_YEAST	tr|A0A1H6PZG0|A0A1H6PZG0_YARLL	tr|W0TED8|W0TED8_KLUMD
OG0002449	sp|P53889|FMP41_YEAST	tr|A0A1D8NCC9|A0A1D8NCC9_YARLL	tr|W0T8R8|W0T8R8_KLUMD
OG0002450	sp|P48363|PFD3_YEAST	tr|A0A1D8N720|A0A1D8N720_YARLL	tr|W0T480|W0T480_KLUMD
OG0002451	sp|Q04183|TR120_YEAST	tr|A0A1D8NEM5|A0A1D8NEM5_YARLL	tr|W0TA85|W0TA85_KLUMD
OG0002452	sp|P39014|MET30_YEAST	tr|A0A1D8N788|A0A1D8N788_YARLL	tr|W0TBI2|W0TBI2_KLUMD
OG0002453	sp|Q06163|TERT_YEAST	tr|A0A1D8NE89|A0A1D8NE89_YARLL	tr|W0T9G7|W0T9G7_KLUMD
OG0002454	sp|P41910|MAF1_YEAST	tr|A0A1H6PLN9|A0A1H6PLN9_YARLL	tr|W0TED5|W0TED5_KLUMD
OG0002455	sp|P53065|TAD1_YEAST	tr|A0A1D8N8G0|A0A1D8N8G0_YARLL	tr|W0T9B8|W0T9B8_KLUMD
OG0002456	sp|P35735|SFK1_YEAST	tr|A0A1D8N8S2|A0A1D8N8S2_YARLL	tr|W0TIB1|W0TIB1_KLUMD
OG0002457	"sp|P22149|AFT1_YEAST, sp|Q08957|AFT2_YEAST"		tr|W0T5C8|W0T5C8_KLUMD
OG0002458	sp|P50275|ASE1_YEAST	tr|A0A1D8NNM7|A0A1D8NNM7_YARLL	tr|W0T920|W0T920_KLUMD
OG0002459	sp|Q03771|ACL4_YEAST	tr|A0A1D8NEF1|A0A1D8NEF1_YARLL	tr|W0TBY3|W0TBY3_KLUMD
OG0002460	sp|P38771|RRF1_YEAST	tr|A0A1H6Q9A9|A0A1H6Q9A9_YARLL	tr|W0T7X0|W0T7X0_KLUMD
OG0002461	sp|P32629|ANP1_YEAST	tr|A0A1D8N9K0|A0A1D8N9K0_YARLL	tr|W0T8C9|W0T8C9_KLUMD
OG0002462	sp|P43563|MOB2_YEAST	tr|A0A1D8N565|A0A1D8N565_YARLL	tr|W0TE46|W0TE46_KLUMD
OG0002463	sp|Q04002|SCC2_YEAST	tr|A0A1D8N4U0|A0A1D8N4U0_YARLL	tr|W0TDR5|W0TDR5_KLUMD
OG0002464	sp|P20486|CKS1_YEAST	tr|A0A1D8NP24|A0A1D8NP24_YARLL	tr|W0TIT8|W0TIT8_KLUMD
OG0002465	"sp|P53059|MNT2_YEAST, sp|P53745|MNT4_YEAST"		tr|W0T8Q6|W0T8Q6_KLUMD
OG0002466	sp|P22353|RM08_YEAST	tr|A0A1H6PHN1|A0A1H6PHN1_YARLL	tr|W0TF37|W0TF37_KLUMD
OG0002467	sp|P53954|ALG11_YEAST	tr|A0A1D8NDS3|A0A1D8NDS3_YARLL	tr|W0TFP9|W0TFP9_KLUMD
OG0002468	sp|P53158|KXD1_YEAST	tr|A0A1H6Q3F0|A0A1H6Q3F0_YARLL	tr|W0THQ7|W0THQ7_KLUMD
OG0002469	sp|P53901|INN1_YEAST	tr|A0A1D8NDP9|A0A1D8NDP9_YARLL	tr|W0T455|W0T455_KLUMD
OG0002470	sp|P36088|FRMSR_YEAST	tr|A0A1D8NPW6|A0A1D8NPW6_YARLL	tr|W0TAB3|W0TAB3_KLUMD
OG0002471	sp|Q04212|ARA2_YEAST	tr|A0A1D8NQL0|A0A1D8NQL0_YARLL	tr|W0TE16|W0TE16_KLUMD
OG0002472	sp|Q3E747|YL363_YEAST	tr|A0A1H6PVY2|A0A1H6PVY2_YARLL	tr|W0TDQ8|W0TDQ8_KLUMD
OG0002473	sp|P40157|VID27_YEAST	tr|A0A1D8NDE0|A0A1D8NDE0_YARLL	tr|W0TDU8|W0TDU8_KLUMD
OG0002474	sp|P53119|HUL5_YEAST	tr|A0A1H6PWP7|A0A1H6PWP7_YARLL	tr|W0TGS6|W0TGS6_KLUMD
OG0002475	sp|Q03219|YM44_YEAST	tr|A0A1D8N6D1|A0A1D8N6D1_YARLL	tr|W0TIV3|W0TIV3_KLUMD
OG0002476	sp|P53088|CTU1_YEAST	tr|A0A1D8NEY8|A0A1D8NEY8_YARLL	tr|W0TCU8|W0TCU8_KLUMD
OG0002477	sp|P40098|FMP10_YEAST	tr|A0A1D8NQ02|A0A1D8NQ02_YARLL	tr|W0T7Q5|W0T7Q5_KLUMD
OG0002478	sp|P32796|CACP_YEAST	tr|A0A1D8N7B3|A0A1D8N7B3_YARLL	tr|W0TCX6|W0TCX6_KLUMD
OG0002479	sp|P38873|KOG1_YEAST	tr|A0A1D8NHF8|A0A1D8NHF8_YARLL	tr|W0T4W4|W0T4W4_KLUMD
OG0002480	sp|Q02554|CUS1_YEAST	tr|A0A1D8NDB7|A0A1D8NDB7_YARLL	tr|W0T599|W0T599_KLUMD
OG0002481	sp|Q03799|RT08_YEAST	tr|A0A1D8NKV1|A0A1D8NKV1_YARLL	tr|W0T6R4|W0T6R4_KLUMD
OG0002482	sp|P21339|MSB1_YEAST	tr|A0A1D8NQI1|A0A1D8NQI1_YARLL	tr|W0T6Z7|W0T6Z7_KLUMD
OG0002483	sp|Q12328|TIM22_YEAST	tr|A0A1H6PN42|A0A1H6PN42_YARLL	tr|W0TAR1|W0TAR1_KLUMD
OG0002484	sp|Q01476|UBP2_YEAST	tr|A0A1H6Q3X2|A0A1H6Q3X2_YARLL	tr|W0T7N5|W0T7N5_KLUMD
OG0002485	sp|P53840|TOF1_YEAST	tr|A0A1D8N6P9|A0A1D8N6P9_YARLL	tr|W0T3V2|W0T3V2_KLUMD
OG0002486	sp|P08019|AMYG_YEAST	tr|A0A1H6PSX4|A0A1H6PSX4_YARLL	tr|W0TFP0|W0TFP0_KLUMD
OG0002487	sp|P25637|YIH1_YEAST	tr|A0A1D8N971|A0A1D8N971_YARLL	tr|W0T8Q8|W0T8Q8_KLUMD
OG0002488	sp|P48015|GCST_YEAST	tr|A0A1D8NLP5|A0A1D8NLP5_YARLL	tr|W0TBW1|W0TBW1_KLUMD
OG0002489	sp|P53337|ERV29_YEAST	tr|A0A1H6Q1P7|A0A1H6Q1P7_YARLL	tr|W0THF4|W0THF4_KLUMD
OG0002490	sp|P29704|FDFT_YEAST	tr|A0A1H6QA08|A0A1H6QA08_YARLL	tr|W0T6X1|W0T6X1_KLUMD
OG0002491	sp|P46683|YAR1_YEAST	tr|A0A1D8N8R0|A0A1D8N8R0_YARLL	tr|W0T7Z4|W0T7Z4_KLUMD
