Sequence Name,Annotation GO Term
KMXK0D06090,positive regulation of histone acetylation
KMXK0F03220,positive regulation of histone acetylation
KMXK0F05650,positive regulation of histone acetylation
KMXK0D04830,positive regulation of histone exchange
KMXK0A02010,positive regulation of histone H3-K36 trimethylation
KMXK0B06450,positive regulation of histone H3-K36 trimethylation
KMXK0E00900,positive regulation of histone H3-K36 trimethylation
KMXK0B01330,positive regulation of histone H3-K4 methylation
KMXK0F01190,positive regulation of histone H3-K4 methylation
KMXK0B01330,positive regulation of histone ubiquitination
KMXK0E06120,positive regulation of hydrolase activity
KMXK0C06130,positive regulation of induction of conjugation with cellular fusion by negative regulation of transcription from RNA polymerase II promoter by pheromones
KMXK0A04470,positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter
KMXK0B06540,positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter
KMXK0G03820,positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter
KMXK0H00680,positive regulation of kinase activity
KMXK0F01220,positive regulation of leucine biosynthetic process
KMXK0B02570,positive regulation of ligase activity
KMXK0F00150,positive regulation of lysine biosynthetic process via alpha-aminoadipate and saccharopine
KMXK0B02190,positive regulation of macroautophagy
KMXK0B06420,positive regulation of macroautophagy
KMXK0F01860,positive regulation of macroautophagy
KMXK0F02770,positive regulation of macroautophagy
KMXK0F03170,positive regulation of macroautophagy
KMXK0H03940,positive regulation of macroautophagy
KMXK0C06200,positive regulation of MAPK cascade
KMXK0D00620,positive regulation of MAPK cascade
KMXK0A04850,positive regulation of mating type switching
KMXK0E04940,positive regulation of mating type switching
KMXK0A08330,positive regulation of mating-type specific transcription, DNA-templated
KMXK0C03520,positive regulation of meiotic cell cycle
KMXK0E05050,positive regulation of meiotic nuclear division
KMXK0A04220,positive regulation of microtubule polymerization
KMXK0A06060,positive regulation of microtubule polymerization
KMXK0B02460,positive regulation of microtubule polymerization
KMXK0D02590,positive regulation of microtubule polymerization
KMXK0E02420,positive regulation of microtubule polymerization
KMXK0E05790,positive regulation of microtubule polymerization
KMXK0H02570,positive regulation of microtubule polymerization
KMXK0H03060,positive regulation of microtubule polymerization
KMXK0H03110,positive regulation of microtubule polymerization
KMXK0C04260,positive regulation of mitochondrial DNA replication
KMXK0B07640,positive regulation of mitochondrial fusion
KMXK0A00620,positive regulation of mitochondrial translation
KMXK0D05800,positive regulation of mitochondrial translation
KMXK0E03240,positive regulation of mitochondrial translation
KMXK0G03200,positive regulation of mitochondrial translation
KMXK0H03190,positive regulation of mitochondrial translation
KMXK0C03520,positive regulation of mitotic cell cycle
KMXK0C02870,positive regulation of mitotic recombination
KMXK0A05900,positive regulation of mitotic spindle pole body separation
KMXK0C03520,positive regulation of mitotic spindle pole body separation
KMXK0E04560,positive regulation of mitotic spindle pole body separation
KMXK0H02410,positive regulation of mitotic spindle pole body separation
KMXK0H04110,positive regulation of mRNA binding
KMXK0C01930,positive regulation of mRNA splicing, via spliceosome
KMXK0D04140,positive regulation of necrotic cell death
KMXK0B00290,positive regulation of nitrogen compound metabolic process
KMXK0D00660,positive regulation of nitrogen compound metabolic process
KMXK0C03520,positive regulation of nuclear cell cycle DNA replication
KMXK0H04110,positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
KMXK0A05630,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening
KMXK0A02830,positive regulation of phenotypic switching
KMXK0F00420,positive regulation of phenotypic switching
KMXK0B07910,positive regulation of phosphatase activity
KMXK0E04790,positive regulation of phosphatase activity
KMXK0H02580,positive regulation of phosphatase activity
KMXK0A07400,positive regulation of phosphatidylcholine biosynthetic process
KMXK0E03110,positive regulation of phosphatidylcholine biosynthetic process
KMXK0H00760,positive regulation of phosphatidylcholine biosynthetic process
KMXK0G02280,positive regulation of phosphatidylinositol biosynthetic process
KMXK0D00380,positive regulation of phospholipid translocation
KMXK0H04400,positive regulation of phosphoprotein phosphatase activity
KMXK0A02010,positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
KMXK0B06450,positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
KMXK0E00900,positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues
KMXK0H02150,positive regulation of polyamine transmembrane transport
KMXK0D03370,positive regulation of protein autophosphorylation
KMXK0C01860,positive regulation of protein catabolic process
KMXK0H04220,positive regulation of protein catabolic process
KMXK0C01430,positive regulation of protein dephosphorylation
KMXK0F04880,positive regulation of protein dephosphorylation
KMXK0B00520,positive regulation of protein export from nucleus
KMXK0A04440,positive regulation of protein import into nucleus
KMXK0A01380,positive regulation of protein kinase activity
KMXK0A01590,positive regulation of protein kinase activity
KMXK0B02010,positive regulation of protein kinase activity
KMXK0B04920,positive regulation of protein kinase activity
KMXK0B06020,positive regulation of protein kinase activity
KMXK0C00320,positive regulation of protein kinase activity
KMXK0F00730,positive regulation of protein kinase activity
KMXK0H00550,positive regulation of protein kinase activity
KMXK0H02120,positive regulation of protein kinase activity
KMXK0H02680,positive regulation of protein kinase C signaling
KMXK0A00310,positive regulation of protein localization to nucleus
KMXK0A07420,positive regulation of protein localization to nucleus
KMXK0F00780,positive regulation of protein localization to nucleus
KMXK0H02230,positive regulation of protein localization to nucleus
KMXK0D06020,positive regulation of protein oligomerization
KMXK0B07640,positive regulation of protein processing
KMXK0A04470,positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
KMXK0B06540,positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
KMXK0F00420,positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
KMXK0G03820,positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
KMXK0H03590,positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter
KMXK0C04050,positive regulation of pyrimidine nucleotide biosynthetic process
KMXK0D04140,positive regulation of reactive oxygen species metabolic process
KMXK0H04100,positive regulation of receptor-mediated endocytosis
KMXK0A00800,positive regulation of ribosomal protein gene transcription by RNA polymerase II
KMXK0B01370,positive regulation of ribosomal protein gene transcription by RNA polymerase II
KMXK0B03560,positive regulation of ribosomal protein gene transcription by RNA polymerase II
KMXK0D02330,positive regulation of ribosomal protein gene transcription by RNA polymerase II
KMXK0D04800,positive regulation of ribosomal protein gene transcription by RNA polymerase II
KMXK0D05030,positive regulation of ribosomal protein gene transcription by RNA polymerase II
KMXK0A02560,positive regulation of RNA biosynthetic process
KMXK0A05740,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0B02800,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0B03010,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0C04640,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0C05450,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0E01500,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0E01670,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0F04880,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0G04050,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0H04220,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
KMXK0C05100,positive regulation of RNA splicing
KMXK0C05240,positive regulation of signal transduction
KMXK0D00620,positive regulation of single-species biofilm formation on inanimate substrate
KMXK0E05640,positive regulation of SNARE complex assembly
KMXK0F02280,positive regulation of SNARE complex assembly
KMXK0D05700,positive regulation of spindle checkpoint
KMXK0A04470,positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter
KMXK0B06540,positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter
KMXK0G03820,positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter
KMXK0C06130,positive regulation of sterol import by positive regulation of transcription from RNA polymerase II promoter
KMXK0E01330,positive regulation of sterol import by positive regulation of transcription from RNA polymerase II promoter
KMXK0B00890,positive regulation of stress-activated MAPK cascade
KMXK0B03120,positive regulation of stress-activated MAPK cascade
KMXK0D01710,positive regulation of sulfite transport by positive regulation of transcription from RNA polymerase II promoter
KMXK0C05600,positive regulation of telomere maintenance via telomerase
KMXK0B02580,positive regulation of thiamine biosynthetic process
KMXK0C03660,positive regulation of thiamine biosynthetic process
KMXK0A05800,positive regulation of TOR signaling
KMXK0C06200,positive regulation of TOR signaling
KMXK0E01480,positive regulation of TOR signaling
KMXK0B03480,positive regulation of transcription by galactose
KMXK0B04130,positive regulation of transcription by galactose
KMXK0G01320,positive regulation of transcription by galactose
KMXK0G02360,positive regulation of transcription by galactose
KMXK0A05700,positive regulation of transcription by RNA polymerase I
KMXK0B01600,positive regulation of transcription by RNA polymerase I
KMXK0B05210,positive regulation of transcription by RNA polymerase I
KMXK0B07100,positive regulation of transcription by RNA polymerase I
KMXK0B08250,positive regulation of transcription by RNA polymerase I
KMXK0C01270,positive regulation of transcription by RNA polymerase I
KMXK0D02510,positive regulation of transcription by RNA polymerase I
KMXK0D05030,positive regulation of transcription by RNA polymerase I
KMXK0D05270,positive regulation of transcription by RNA polymerase I
KMXK0E03610,positive regulation of transcription by RNA polymerase I
KMXK0A00720,positive regulation of transcription by RNA polymerase II
KMXK0A01920,positive regulation of transcription by RNA polymerase II
KMXK0A03490,positive regulation of transcription by RNA polymerase II
KMXK0A03570,positive regulation of transcription by RNA polymerase II
KMXK0A04940,positive regulation of transcription by RNA polymerase II
KMXK0A04950,positive regulation of transcription by RNA polymerase II
KMXK0A07910,positive regulation of transcription by RNA polymerase II
KMXK0B00720,positive regulation of transcription by RNA polymerase II
KMXK0B01290,positive regulation of transcription by RNA polymerase II
KMXK0B01780,positive regulation of transcription by RNA polymerase II
KMXK0B02290,positive regulation of transcription by RNA polymerase II
KMXK0B02580,positive regulation of transcription by RNA polymerase II
KMXK0B03260,positive regulation of transcription by RNA polymerase II
KMXK0B04130,positive regulation of transcription by RNA polymerase II
KMXK0B04220,positive regulation of transcription by RNA polymerase II
KMXK0B04520,positive regulation of transcription by RNA polymerase II
KMXK0C01160,positive regulation of transcription by RNA polymerase II
KMXK0C01480,positive regulation of transcription by RNA polymerase II
KMXK0C01850,positive regulation of transcription by RNA polymerase II
KMXK0C01880,positive regulation of transcription by RNA polymerase II
KMXK0C03150,positive regulation of transcription by RNA polymerase II
KMXK0C03520,positive regulation of transcription by RNA polymerase II
KMXK0C03660,positive regulation of transcription by RNA polymerase II
KMXK0C04050,positive regulation of transcription by RNA polymerase II
KMXK0C04110,positive regulation of transcription by RNA polymerase II
KMXK0C04970,positive regulation of transcription by RNA polymerase II
KMXK0C05350,positive regulation of transcription by RNA polymerase II
KMXK0C05660,positive regulation of transcription by RNA polymerase II
KMXK0C06670,positive regulation of transcription by RNA polymerase II
KMXK0D02600,positive regulation of transcription by RNA polymerase II
KMXK0D02850,positive regulation of transcription by RNA polymerase II
KMXK0D03320,positive regulation of transcription by RNA polymerase II
KMXK0D05760,positive regulation of transcription by RNA polymerase II
KMXK0E01100,positive regulation of transcription by RNA polymerase II
KMXK0E01480,positive regulation of transcription by RNA polymerase II
KMXK0E04370,positive regulation of transcription by RNA polymerase II
KMXK0E04470,positive regulation of transcription by RNA polymerase II
KMXK0E04620,positive regulation of transcription by RNA polymerase II
KMXK0E05390,positive regulation of transcription by RNA polymerase II
KMXK0E06220,positive regulation of transcription by RNA polymerase II
KMXK0F00150,positive regulation of transcription by RNA polymerase II
KMXK0F01050,positive regulation of transcription by RNA polymerase II
KMXK0F01170,positive regulation of transcription by RNA polymerase II
KMXK0F01220,positive regulation of transcription by RNA polymerase II
KMXK0F01310,positive regulation of transcription by RNA polymerase II
KMXK0F01640,positive regulation of transcription by RNA polymerase II
KMXK0F01690,positive regulation of transcription by RNA polymerase II
KMXK0F01910,positive regulation of transcription by RNA polymerase II
KMXK0F02400,positive regulation of transcription by RNA polymerase II
KMXK0F02830,positive regulation of transcription by RNA polymerase II
KMXK0F03950,positive regulation of transcription by RNA polymerase II
KMXK0F05690,positive regulation of transcription by RNA polymerase II
KMXK0G01060,positive regulation of transcription by RNA polymerase II
KMXK0G01100,positive regulation of transcription by RNA polymerase II
KMXK0G01410,positive regulation of transcription by RNA polymerase II
KMXK0G02750,positive regulation of transcription by RNA polymerase II
KMXK0G03020,positive regulation of transcription by RNA polymerase II
KMXK0G03060,positive regulation of transcription by RNA polymerase II
KMXK0H00410,positive regulation of transcription by RNA polymerase II
KMXK0H01320,positive regulation of transcription by RNA polymerase II
KMXK0H01450,positive regulation of transcription by RNA polymerase II
KMXK0H01580,positive regulation of transcription by RNA polymerase II
KMXK0H02720,positive regulation of transcription by RNA polymerase II
KMXK0H03010,positive regulation of transcription by RNA polymerase II
KMXK0H03990,positive regulation of transcription by RNA polymerase II
KMXK0H04100,positive regulation of transcription by RNA polymerase II
KMXK0D03320,positive regulation of transcription by RNA polymerase III
KMXK0D05030,positive regulation of transcription by RNA polymerase III
KMXK0B03150,positive regulation of transcription by transcription factor localization
KMXK0A02010,positive regulation of transcription elongation from RNA polymerase I promoter
KMXK0B06270,positive regulation of transcription elongation from RNA polymerase I promoter
KMXK0B06450,positive regulation of transcription elongation from RNA polymerase I promoter
KMXK0D06370,positive regulation of transcription elongation from RNA polymerase I promoter
KMXK0E00900,positive regulation of transcription elongation from RNA polymerase I promoter
KMXK0E02840,positive regulation of transcription elongation from RNA polymerase I promoter
KMXK0A01500,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0A02010,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0A04890,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0B02190,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0B03010,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0B05350,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0B06270,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0B06780,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0C04640,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0D00270,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0D02980,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0D03320,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0D04560,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0D06330,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0D06370,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0E00900,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0E01500,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0E02470,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0E02840,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0E03180,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0E03230,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0E05710,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0F01460,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0F05650,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0H01750,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0H02230,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0H03040,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0H03270,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0H03960,positive regulation of transcription elongation from RNA polymerase II promoter
KMXK0A00800,positive regulation of transcription from a mobile element promoter
KMXK0B08100,positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source
KMXK0G00560,positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source
KMXK0F01780,positive regulation of transcription from RNA polymerase II promoter by galactose
KMXK0A05560,positive regulation of transcription from RNA polymerase II promoter by pheromones
KMXK0A08200,positive regulation of transcription from RNA polymerase II promoter by pheromones
KMXK0C07230,positive regulation of transcription from RNA polymerase II promoter by pheromones
KMXK0E05550,positive regulation of transcription from RNA polymerase II promoter by pheromones
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to a hypotonic environment
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to acidic pH
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to alkaline pH
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to amino acid starvation
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to ethanol
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to freezing
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to glucose starvation
KMXK0A04470,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0A05710,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0A05880,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0B00820,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0B06420,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0F03710,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0G01240,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0G02350,positive regulation of transcription from RNA polymerase II promoter in response to heat stress
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to hydrogen peroxide
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to hydrostatic pressure
KMXK0A04470,positive regulation of transcription from RNA polymerase II promoter in response to increased salt
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to increased salt
KMXK0A04470,positive regulation of transcription from RNA polymerase II promoter in response to methylglyoxal
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to nitrosative stress
KMXK0A00560,positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress
KMXK0B07670,positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress
KMXK0D02030,positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress
KMXK0F01520,positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress
KMXK0C06150,positive regulation of transcription from RNA polymerase II promoter in response to stress
KMXK0H03570,positive regulation of transcription from RNA polymerase II promoter in response to stress
KMXK0D03360,positive regulation of transcription from RNA polymerase II promoter in response to zinc ion starvation
KMXK0G01320,positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle
KMXK0B03180,positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response
KMXK0B02800,positive regulation of transcription initiation from RNA polymerase II promoter
KMXK0C05450,positive regulation of transcription initiation from RNA polymerase II promoter
KMXK0D02980,positive regulation of transcription initiation from RNA polymerase II promoter
KMXK0E04940,positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter
KMXK0H00780,positive regulation of transcription involved in G1/S transition of mitotic cell cycle
KMXK0H03040,positive regulation of transcription involved in G1/S transition of mitotic cell cycle
KMXK0E03850,positive regulation of transcription regulatory region DNA binding
KMXK0H03250,positive regulation of transcription regulatory region DNA binding
KMXK0A01220,positive regulation of transcription, DNA-templated
KMXK0A05290,positive regulation of transcription, DNA-templated
KMXK0B02690,positive regulation of transcription, DNA-templated
KMXK0B07990,positive regulation of transcription, DNA-templated
KMXK0B08210,positive regulation of transcription, DNA-templated
KMXK0C02140,positive regulation of transcription, DNA-templated
KMXK0D01030,positive regulation of transcription, DNA-templated
KMXK0D01830,positive regulation of transcription, DNA-templated
KMXK0F01720,positive regulation of transcription, DNA-templated
KMXK0H02120,positive regulation of transcription, DNA-templated
KMXK0H02500,positive regulation of transcription, DNA-templated
KMXK0A03930,positive regulation of translation
KMXK0A04260,positive regulation of translation
KMXK0A06360,positive regulation of translation
KMXK0A07270,positive regulation of translation
KMXK0C02030,positive regulation of translation
KMXK0C02970,positive regulation of translation
KMXK0C01720,positive regulation of translation in response to stress
KMXK0A01320,positive regulation of translational elongation
KMXK0B05960,positive regulation of translational elongation
KMXK0A00690,positive regulation of translational fidelity
KMXK0B02830,positive regulation of translational fidelity
KMXK0B07100,positive regulation of translational fidelity
KMXK0C01270,positive regulation of translational fidelity
KMXK0F01210,positive regulation of translational fidelity
KMXK0A01320,positive regulation of translational initiation
KMXK0A05110,positive regulation of translational initiation
KMXK0A05630,positive regulation of translational initiation
KMXK0A01320,positive regulation of translational termination
KMXK0H03570,positive regulation of transposition, RNA-mediated
KMXK0G01440,positive regulation of transposon integration
KMXK0C03520,positive regulation of triglyceride catabolic process
KMXK0A03860,positive regulation of ubiquitin protein ligase activity
KMXK0B02390,positive regulation of ubiquitin protein ligase activity
KMXK0C07090,positive regulation of ubiquitin protein ligase activity
KMXK0C01740,positive regulation of ubiquitin-dependent endocytosis
KMXK0A03860,positive regulation of ubiquitin-dependent protein catabolic process
KMXK0F04130,positive regulation of urea catabolic process
KMXK0E05200,positive regulation of vesicle fusion
KMXK0A08140,post-Golgi vesicle-mediated transport
KMXK0B02040,post-Golgi vesicle-mediated transport
KMXK0B07910,post-Golgi vesicle-mediated transport
KMXK0E01260,post-Golgi vesicle-mediated transport
KMXK0E02740,post-Golgi vesicle-mediated transport
KMXK0E02310,post-translational protein acetylation
KMXK0B01820,postreplication repair
KMXK0C01970,postreplication repair
KMXK0C02940,postreplication repair
KMXK0C05780,postreplication repair
KMXK0D05970,postreplication repair
KMXK0D06180,postreplication repair
KMXK0F02140,postreplication repair
KMXK0F02260,postreplication repair
KMXK0F04540,postreplication repair
KMXK0H03340,postreplication repair
KMXK0A01170,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
KMXK0E05090,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
KMXK0F04680,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
KMXK0G00510,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
KMXK0G01060,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
KMXK0G03060,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
KMXK0G03810,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
KMXK0B06630,posttranslational protein targeting to endoplasmic reticulum membrane
KMXK0D02130,posttranslational protein targeting to endoplasmic reticulum membrane
KMXK0D05310,posttranslational protein targeting to endoplasmic reticulum membrane
KMXK0F01830,posttranslational protein targeting to endoplasmic reticulum membrane
KMXK0G00460,posttranslational protein targeting to endoplasmic reticulum membrane
KMXK0A00320,posttranslational protein targeting to membrane, translocation
KMXK0A00500,posttranslational protein targeting to membrane, translocation
KMXK0B04370,posttranslational protein targeting to membrane, translocation
KMXK0B07070,posttranslational protein targeting to membrane, translocation
KMXK0C04540,posttranslational protein targeting to membrane, translocation
KMXK0E01410,posttranslational protein targeting to membrane, translocation
KMXK0F03720,posttranslational protein targeting to membrane, translocation
KMXK0F03790,posttranslational protein targeting to membrane, translocation
KMXK0E05100,potassium ion export
KMXK0B02500,potassium ion homeostasis
KMXK0G01840,potassium ion import
KMXK0A04140,potassium ion transmembrane transport
KMXK0C01640,potassium ion transmembrane transport
KMXK0D05990,potassium ion transmembrane transport
KMXK0E03840,potassium ion transmembrane transport
KMXK0F05430,potassium ion transmembrane transport
KMXK0F00680,potassium ion transport
KMXK0H03020,potassium ion transport
KMXK0H03190,potassium ion transport
KMXK0H00510,pre-mRNA catabolic process
KMXK0A00910,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0A01290,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0A06940,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0A07360,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0B01270,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0B01430,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0B02700,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0B06990,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0B07190,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0B07540,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0C01390,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0C02990,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0D01360,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0D01930,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0D05240,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0E01730,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0F03230,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0H02640,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KMXK0C03500,premeiotic DNA replication
KMXK0D01300,premeiotic DNA replication
KMXK0G02420,premeiotic DNA replication
KMXK0B01170,primary metabolic process
KMXK0C02650,primary metabolic process
KMXK0D01810,primary metabolic process
KMXK0D03420,primary metabolic process
KMXK0F00300,primary metabolic process
KMXK0F02800,primary metabolic process
KMXK0G00920,primary metabolic process
KMXK0H04020,primary metabolic process
KMXK0C04210,proline biosynthetic process
KMXK0C04210,proline catabolic process to glutamate
KMXK0E05170,proline catabolic process to glutamate
KMXK0F03530,proline transport
KMXK0A04000,prolyl-tRNA aminoacylation
KMXK0G03440,prolyl-tRNA aminoacylation
KMXK0B08180,promoter clearance from RNA polymerase II promoter
KMXK0C02140,promoter clearance from RNA polymerase II promoter
KMXK0D00540,promoter clearance from RNA polymerase II promoter
KMXK0H03840,promoter clearance from RNA polymerase II promoter
KMXK0H04290,propionate catabolic process, 2-methylcitrate cycle
KMXK0H04420,propionate catabolic process, 2-methylcitrate cycle
KMXK0H04430,propionate catabolic process, 2-methylcitrate cycle
KMXK0C03060,propionate metabolic process
KMXK0C05590,proteasomal protein catabolic process
KMXK0H01750,proteasomal protein catabolic process
KMXK0A03340,proteasomal ubiquitin-independent protein catabolic process
KMXK0B03550,proteasomal ubiquitin-independent protein catabolic process
KMXK0B05550,proteasomal ubiquitin-independent protein catabolic process
KMXK0B06760,proteasomal ubiquitin-independent protein catabolic process
KMXK0C05940,proteasomal ubiquitin-independent protein catabolic process
KMXK0C06480,proteasomal ubiquitin-independent protein catabolic process
KMXK0D04570,proteasomal ubiquitin-independent protein catabolic process
KMXK0E01620,proteasomal ubiquitin-independent protein catabolic process
KMXK0F01650,proteasomal ubiquitin-independent protein catabolic process
KMXK0F02520,proteasomal ubiquitin-independent protein catabolic process
KMXK0G03600,proteasomal ubiquitin-independent protein catabolic process
KMXK0H00890,proteasomal ubiquitin-independent protein catabolic process
KMXK0H03160,proteasomal ubiquitin-independent protein catabolic process
KMXK0H03230,proteasomal ubiquitin-independent protein catabolic process
KMXK0A00340,proteasome assembly
KMXK0A05820,proteasome assembly
KMXK0B04550,proteasome assembly
KMXK0B06690,proteasome assembly
KMXK0C01310,proteasome assembly
KMXK0C02200,proteasome assembly
KMXK0C02560,proteasome assembly
KMXK0C04760,proteasome assembly
KMXK0D06400,proteasome assembly
KMXK0E03480,proteasome assembly
KMXK0F01650,proteasome assembly
KMXK0B03550,proteasome core complex assembly
KMXK0B05550,proteasome core complex assembly
KMXK0C01310,proteasome core complex import into nucleus
KMXK0E04670,proteasome localization
KMXK0A05740,proteasome regulatory particle assembly
KMXK0C01860,proteasome regulatory particle assembly
KMXK0C04640,proteasome regulatory particle assembly
KMXK0E01500,proteasome regulatory particle assembly
KMXK0G04050,proteasome regulatory particle assembly
KMXK0H04220,proteasome regulatory particle assembly
KMXK0A02890,proteasome-mediated ubiquitin-dependent protein catabolic process
KMXK0A03340,proteasome-mediated ubiquitin-dependent protein catabolic process
KMXK0A05820,proteasome-mediated ubiquitin-dependent protein catabolic process
