W29 Uniprot	Annotation GO ID	Annotation GO Term	Annotation GO Category
A0A1D8NDZ3	GO:0000338	protein deneddylation	Biological Process
A0A1D8NDZ3	GO:0008180	COP9 signalosome	Cellular Component
A0A1D8NDZ3	GO:0008541	proteasome regulatory particle, lid subcomplex	Cellular Component
A0A1D8NDZ3	GO:0031595	nuclear proteasome complex	Cellular Component
A0A1D8NDZ3	GO:0034515	proteasome storage granule	Cellular Component
A0A1D8NDZ3	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NJY5	GO:0005887	integral component of plasma membrane	Cellular Component
A0A1D8NJY5	GO:0022857	transmembrane transporter activity	Molecular Function
A0A1D8NJY5	GO:0055085	transmembrane transport	Biological Process
A0A1D8NFQ7	GO:0005085	guanyl-nucleotide exchange factor activity	Molecular Function
A0A1D8NFQ7	GO:0005622	intracellular	Cellular Component
A0A1D8NFQ7	GO:0007264	small GTPase mediated signal transduction	Biological Process
A0A1D8NHE0	GO:0031080	nuclear pore outer ring	Cellular Component
A0A1D8NFD5	GO:0008541	proteasome regulatory particle, lid subcomplex	Cellular Component
A0A1D8NFD5	GO:0034515	proteasome storage granule	Cellular Component
A0A1D8NFD5	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NFD5	GO:1990023	mitotic spindle midzone	Cellular Component
A0A1D8NI36			
A0A1D8NIF4	GO:0005634	nucleus	Cellular Component
A0A1D8NIF4	GO:0005737	cytoplasm	Cellular Component
A0A1D8NIF4	GO:0008143	poly(A) binding	Molecular Function
A0A1D8NIF4	GO:0010628	positive regulation of gene expression	Biological Process
A0A1D8NIF4	GO:0043488	regulation of mRNA stability	Biological Process
A0A1D8NIF4	GO:1900364	negative regulation of mRNA polyadenylation	Biological Process
A0A1D8NK95	GO:0000027	ribosomal large subunit assembly	Biological Process
A0A1D8NK95	GO:0002181	cytoplasmic translation	Biological Process
A0A1D8NK95	GO:0003723	RNA binding	Molecular Function
A0A1D8NK95	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1D8NK95	GO:0009267	cellular response to starvation	Biological Process
A0A1D8NK95	GO:0009986	cell surface	Cellular Component
A0A1D8NK95	GO:0016020	membrane	Cellular Component
A0A1D8NK95	GO:0022625	cytosolic large ribosomal subunit	Cellular Component
A0A1D8NK95	GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	Biological Process
A0A1D8NK95	GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	Biological Process
A0A1D8N3Z2			
A0A1D8NDX1	GO:0000978	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NDX1	GO:0000982	transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NDX1	GO:0005634	nucleus	Cellular Component
A0A1D8NDX1	GO:0008270	zinc ion binding	Molecular Function
A0A1D8NDX1	GO:0045944	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N5B4	GO:0005634	nucleus	Cellular Component
A0A1D8NQ24			
A0A1H6PIP4	GO:0030433	ubiquitin-dependent ERAD pathway	Biological Process
A0A1H6PJ97	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NKX8			
A0A1D8NMD4			
A0A1H6PU01	GO:0004722	protein serine/threonine phosphatase activity	Molecular Function
A0A1H6PU01	GO:0006470	protein dephosphorylation	Biological Process
A0A1H6PU01	GO:0046872	metal ion binding	Molecular Function
A0A1D8NAD5			
A0A1H6Q052	GO:0005774	vacuolar membrane	Cellular Component
A0A1H6Q052	GO:0015140	malate transmembrane transporter activity	Molecular Function
A0A1H6Q052	GO:0016021	integral component of membrane	Cellular Component
A0A1H6Q052	GO:0071423	malate transmembrane transport	Biological Process
A0A1D8N481			
A0A1D8NFF4	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NFH9	GO:0003723	RNA binding	Molecular Function
A0A1D8NFH9	GO:0005737	cytoplasm	Cellular Component
A0A1D8NFH9	GO:0045292	mRNA cis splicing, via spliceosome	Biological Process
A0A1D8NFH9	GO:0071006	U2-type catalytic step 1 spliceosome	Cellular Component
A0A1D8NFH9	GO:0071013	catalytic step 2 spliceosome	Cellular Component
A0A1D8NF84	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NF84	GO:0043495	protein membrane anchor	Molecular Function
A0A1D8NF84	GO:0045048	protein insertion into ER membrane	Biological Process
A0A1D8NP94			
A0A1D8NC86			
A0A1D8NDD5	GO:0003677	DNA binding	Molecular Function
A0A1D8NDD5	GO:0005524	ATP binding	Molecular Function
A0A1D8NDD5	GO:0005634	nucleus	Cellular Component
A0A1D8NDD5	GO:0006342	chromatin silencing	Biological Process
A0A1D8NDD5	GO:0017111	nucleoside-triphosphatase activity	Molecular Function
A0A1D8NDD5	GO:0031491	nucleosome binding	Molecular Function
A0A1D8NDD5	GO:0043044	ATP-dependent chromatin remodeling	Biological Process
A0A1D8NDD5	GO:0044427	chromosomal part	Cellular Component
A0A1D8NDL0	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NPG7			
A0A1H6QA08	GO:0004310	farnesyl-diphosphate farnesyltransferase activity	Molecular Function
A0A1H6QA08	GO:0005789	endoplasmic reticulum membrane	Cellular Component
A0A1H6QA08	GO:0005886	plasma membrane	Cellular Component
A0A1H6QA08	GO:0006696	ergosterol biosynthetic process	Biological Process
A0A1H6QA08	GO:0008299	isoprenoid biosynthetic process	Biological Process
A0A1H6QA08	GO:0016021	integral component of membrane	Cellular Component
A0A1H6QA08	GO:0045338	farnesyl diphosphate metabolic process	Biological Process
A0A1H6QA08	GO:0051996	squalene synthase activity	Molecular Function
A0A1D8NE61	GO:0005086	ARF guanyl-nucleotide exchange factor activity	Molecular Function
A0A1D8NE61	GO:0005802	trans-Golgi network	Cellular Component
A0A1D8NE61	GO:0016192	vesicle-mediated transport	Biological Process
A0A1H6PKU0	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
A0A1H6PKU0	GO:0005737	cytoplasm	Cellular Component
A0A1H6PKU0	GO:0006508	proteolysis	Biological Process
A0A1H6PKU0	GO:0009636	response to toxic substance	Biological Process
A0A1H6PKU0	GO:0043418	homocysteine catabolic process	Biological Process
A0A1D8N993	GO:0000145	exocyst	Cellular Component
A0A1D8N993	GO:0006887	exocytosis	Biological Process
A0A1D8N993	GO:0006893	Golgi to plasma membrane transport	Biological Process
A0A1D8N993	GO:0048278	vesicle docking	Biological Process
A0A1D8NBF8			
A0A1D8NCT9			
A0A1H6Q6J0	GO:0003723	RNA binding	Molecular Function
A0A1H6Q6J0	GO:0005634	nucleus	Cellular Component
A0A1H6Q6J0	GO:0005737	cytoplasm	Cellular Component
A0A1H6Q6J0	GO:0006364	rRNA processing	Biological Process
A0A1D8NIA7	GO:0000495	box H/ACA snoRNA 3'-end processing	Biological Process
A0A1D8NIA7	GO:0003723	RNA binding	Molecular Function
A0A1D8NIA7	GO:0009982	pseudouridine synthase activity	Molecular Function
A0A1D8NIA7	GO:0031118	rRNA pseudouridine synthesis	Biological Process
A0A1D8NIA7	GO:0031120	snRNA pseudouridine synthesis	Biological Process
A0A1D8NIA7	GO:0031429	box H/ACA snoRNP complex	Cellular Component
A0A1D8NIA7	GO:1990481	mRNA pseudouridine synthesis	Biological Process
A0A1D8NIW4	GO:0004814	arginine-tRNA ligase activity	Molecular Function
A0A1D8NIW4	GO:0005524	ATP binding	Molecular Function
A0A1D8NIW4	GO:0005739	mitochondrion	Cellular Component
A0A1D8NIW4	GO:0005829	cytosol	Cellular Component
A0A1D8NIW4	GO:0006420	arginyl-tRNA aminoacylation	Biological Process
A0A1D8NIW4	GO:0032543	mitochondrial translation	Biological Process
A0A1D8NPV6	GO:0000209	protein polyubiquitination	Biological Process
A0A1D8NPV6	GO:0008270	zinc ion binding	Molecular Function
A0A1D8NPV6	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NPV6	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NPV6	GO:0061630	ubiquitin protein ligase activity	Molecular Function
A0A1H6Q9V3	GO:0000287	magnesium ion binding	Molecular Function
A0A1H6Q9V3	GO:0005634	nucleus	Cellular Component
A0A1H6Q9V3	GO:0005737	cytoplasm	Cellular Component
A0A1H6Q9V3	GO:0016311	dephosphorylation	Biological Process
A0A1H6Q9V3	GO:0019284	L-methionine salvage from S-adenosylmethionine	Biological Process
A0A1H6Q9V3	GO:0019509	L-methionine salvage from methylthioadenosine	Biological Process
A0A1H6Q9V3	GO:0043715	2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity	Molecular Function
A0A1H6Q9V3	GO:0043716	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity	Molecular Function
A0A1H6Q9V3	GO:0043874	acireductone synthase activity	Molecular Function
A0A1D8N756	GO:0000329	fungal-type vacuole membrane	Cellular Component
A0A1D8N756	GO:0030447	filamentous growth	Biological Process
A0A1D8N756	GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	Biological Process
A0A1D8N756	GO:0035690	cellular response to drug	Biological Process
A0A1D8N756	GO:0045893	positive regulation of transcription, DNA-templated	Biological Process
A0A1D8NDH5	GO:0009405	pathogenesis	Biological Process
A0A1D8NDH5	GO:0009986	cell surface	Cellular Component
A0A1D8NDH5	GO:0010106	cellular response to iron ion starvation	Biological Process
A0A1D8NDH5	GO:0015093	ferrous iron transmembrane transporter activity	Molecular Function
A0A1D8NDH5	GO:0033573	high-affinity iron permease complex	Cellular Component
A0A1D8NDH5	GO:0034755	iron ion transmembrane transport	Biological Process
A0A1D8NDH5	GO:0044117	growth of symbiont in host	Biological Process
A0A1H6PJY2	GO:0005739	mitochondrion	Cellular Component
A0A1H6PJY2	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N931			
A0A1D8NA97			
A0A1D8NDD9			
A0A1H6PH27	GO:0005096	GTPase activator activity	Molecular Function
A0A1H6PH27	GO:0005622	intracellular	Cellular Component
A0A1H6PH27	GO:0006886	intracellular protein transport	Biological Process
A0A1H6PH27	GO:0012505	endomembrane system	Cellular Component
A0A1H6PH27	GO:0017137	Rab GTPase binding	Molecular Function
A0A1H6PH27	GO:0031338	regulation of vesicle fusion	Biological Process
A0A1H6PH27	GO:0090630	activation of GTPase activity	Biological Process
A0A1D8NN81			
A0A1D8N3G6			
A0A1D8NNS3	GO:0008080	N-acetyltransferase activity	Molecular Function
A0A1D8NNS3	GO:0042493	response to drug	Biological Process
A0A1D8NJH9			
A0A1D8NN97			
A0A1H6PY34	GO:0005634	nucleus	Cellular Component
A0A1H6PY34	GO:0005737	cytoplasm	Cellular Component
A0A1H6PY34	GO:0006468	protein phosphorylation	Biological Process
A0A1H6PY34	GO:0007234	osmosensory signaling via phosphorelay pathway	Biological Process
A0A1H6PY34	GO:0009927	histidine phosphotransfer kinase activity	Molecular Function
A0A1H6PY34	GO:0043424	protein histidine kinase binding	Molecular Function
A0A1D8NQ97	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N626	GO:0000049	tRNA binding	Molecular Function
A0A1D8N626	GO:0006418	tRNA aminoacylation for protein translation	Biological Process
A0A1D8N626	GO:0016874	ligase activity	Molecular Function
A0A1D8N626	GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	Cellular Component
A0A1D8N626	GO:0017102	methionyl glutamyl tRNA synthetase complex	Cellular Component
A0A1D8N626	GO:0051351	positive regulation of ligase activity	Biological Process
A0A1D8N3R3			
A0A1D8N9Q4	GO:0000408	EKC/KEOPS complex	Cellular Component
A0A1D8N9Q4	GO:0000722	telomere maintenance via recombination	Biological Process
A0A1D8N9Q4	GO:0000790	nuclear chromatin	Cellular Component
A0A1D8N9Q4	GO:0002949	tRNA threonylcarbamoyladenosine modification	Biological Process
A0A1D8N9Q4	GO:0005737	cytoplasm	Cellular Component
A0A1D8N9Q4	GO:0006508	proteolysis	Biological Process
A0A1D8N9Q4	GO:0008233	peptidase activity	Molecular Function
A0A1D8N9Q4	GO:0031490	chromatin DNA binding	Molecular Function
A0A1D8N9Q4	GO:0045944	positive regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N9Q4	GO:0046872	metal ion binding	Molecular Function
A0A1D8N9Q4	GO:0061711	N(6)-L-threonylcarbamoyladenine synthase activity	Molecular Function
A0A1D8NF42			
A0A1D8NHN3	GO:0006511	ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NHN3	GO:0016579	protein deubiquitination	Biological Process
A0A1D8NHN3	GO:0036459	thiol-dependent ubiquitinyl hydrolase activity	Molecular Function
A0A1D8NIA2			
A0A1H6PPL9	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Biological Process
A0A1H6PPL9	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	Biological Process
A0A1H6PPL9	GO:0005654	nucleoplasm	Cellular Component
A0A1H6PPL9	GO:0030687	preribosome, large subunit precursor	Cellular Component
A0A1H6PPL9	GO:0043021	ribonucleoprotein complex binding	Molecular Function
A0A1H6PPL9	GO:0070180	large ribosomal subunit rRNA binding	Molecular Function
A0A1H6PPL9	GO:0070545	PeBoW complex	Cellular Component
A0A1D8NBB3	GO:0004252	serine-type endopeptidase activity	Molecular Function
A0A1D8NBB3	GO:0006508	proteolysis	Biological Process
A0A1D8NFE6	GO:0016787	hydrolase activity	Molecular Function
A0A1D8NFE6	GO:0046856	phosphatidylinositol dephosphorylation	Biological Process
A0A1D8NLH0	GO:0006865	amino acid transport	Biological Process
A0A1D8NLH0	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NLH0	GO:0022857	transmembrane transporter activity	Molecular Function
A0A1D8NLH0	GO:0055085	transmembrane transport	Biological Process
A0A1H6PWY7	GO:0000103	sulfate assimilation	Biological Process
A0A1H6PWY7	GO:0004851	uroporphyrin-III C-methyltransferase activity	Molecular Function
A0A1H6PWY7	GO:0019354	siroheme biosynthetic process	Biological Process
A0A1H6PWY7	GO:0032259	methylation	Biological Process
A0A1H6PWY7	GO:0055114	oxidation-reduction process	Biological Process
A0A1H6Q243	GO:0003677	DNA binding	Molecular Function
A0A1H6Q243	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	Molecular Function
A0A1H6Q243	GO:0005634	nucleus	Cellular Component
A0A1H6Q243	GO:0005739	mitochondrion	Cellular Component
A0A1H6Q243	GO:0006284	base-excision repair	Biological Process
A0A1H6Q243	GO:0008081	phosphoric diester hydrolase activity	Molecular Function
A0A1H6Q243	GO:0008270	zinc ion binding	Molecular Function
A0A1H6Q243	GO:0008296	3'-5'-exodeoxyribonuclease activity	Molecular Function
A0A1H6Q243	GO:0016829	lyase activity	Molecular Function
A0A1D8NMV2	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NNP5	GO:0004758	serine C-palmitoyltransferase activity	Molecular Function
A0A1D8NNP5	GO:0030148	sphingolipid biosynthetic process	Biological Process
A0A1D8NNP5	GO:0030170	pyridoxal phosphate binding	Molecular Function
A0A1D8NNP5	GO:0035339	SPOTS complex	Cellular Component
A0A1D8NNP2	GO:0005886	plasma membrane	Cellular Component
A0A1D8NNP2	GO:0006847	plasma membrane acetate transport	Biological Process
A0A1D8NNP2	GO:0015123	acetate transmembrane transporter activity	Molecular Function
A0A1D8NNP2	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N7D1	GO:0000350	generation of catalytic spliceosome for second transesterification step	Biological Process
A0A1D8N7D1	GO:0000386	second spliceosomal transesterification activity	Molecular Function
A0A1D8N7D1	GO:0000390	spliceosomal complex disassembly	Biological Process
A0A1D8N7D1	GO:0003723	RNA binding	Molecular Function
A0A1D8N7D1	GO:0004004	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8N7D1	GO:0005524	ATP binding	Molecular Function
A0A1D8N7D1	GO:0005737	cytoplasm	Cellular Component
A0A1D8N7D1	GO:0048037	cofactor binding	Molecular Function
A0A1D8N7D1	GO:0071007	U2-type catalytic step 2 spliceosome	Cellular Component
A0A1D8N7D1	GO:0071021	U2-type post-spliceosomal complex	Cellular Component
A0A1D8NHZ0			
A0A1D8NQ76	GO:0016020	membrane	Cellular Component
A0A1D8NQN0	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	Biological Process
A0A1D8NQN0	GO:0000340	RNA 7-methylguanosine cap binding	Molecular Function
A0A1D8NQN0	GO:0000932	P-body	Cellular Component
A0A1D8NQN0	GO:0005634	nucleus	Cellular Component
A0A1D8NQN0	GO:0050072	m7G(5')pppN diphosphatase activity	Molecular Function
A0A1D8N9U1			
A0A1D8NCP1	GO:0004040	amidase activity	Molecular Function
A0A1D8N690	GO:0003824	catalytic activity	Molecular Function
A0A1D8N690	GO:0008152	metabolic process	Biological Process
A0A1H6PTU0	GO:0016020	membrane	Cellular Component
A0A1H6PTU0	GO:0016263	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity	Molecular Function
A0A1H6PTU0	GO:0016267	O-glycan processing, core 1	Biological Process
A0A1H6PQ16			
A0A1H6Q7Z2	GO:0000026	alpha-1,2-mannosyltransferase activity	Molecular Function
A0A1H6Q7Z2	GO:0005794	Golgi apparatus	Cellular Component
A0A1H6Q7Z2	GO:0035268	protein mannosylation	Biological Process
A0A1H6Q7Z2	GO:0046354	mannan biosynthetic process	Biological Process
A0A1D8NAD3	GO:0003676	nucleic acid binding	Molecular Function
A0A1D8NAD3	GO:0004523	RNA-DNA hybrid ribonuclease activity	Molecular Function
A0A1D8NAD3	GO:0005634	nucleus	Cellular Component
A0A1D8NAD3	GO:0043137	DNA replication, removal of RNA primer	Biological Process
A0A1D8NAD3	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	Biological Process
A0A1D8NE33			
A0A1D8NAM5	GO:0008195	phosphatidate phosphatase activity	Molecular Function
A0A1D8NAM5	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NAM5	GO:0016311	dephosphorylation	Biological Process
A0A1D8NQQ7	GO:0004550	nucleoside diphosphate kinase activity	Molecular Function
A0A1D8NQQ7	GO:0005524	ATP binding	Molecular Function
A0A1D8NQQ7	GO:0005971	ribonucleoside-diphosphate reductase complex	Cellular Component
A0A1D8NQQ7	GO:0006165	nucleoside diphosphate phosphorylation	Biological Process
A0A1D8NQQ7	GO:0006235	dTTP biosynthetic process	Biological Process
A0A1D8NQQ7	GO:0006240	dCDP biosynthetic process	Biological Process
A0A1D8NQQ7	GO:0006260	DNA replication	Biological Process
A0A1D8NQQ7	GO:0046704	CDP metabolic process	Biological Process
A0A1D8NQQ7	GO:0051063	CDP reductase activity	Molecular Function
A0A1D8NQQ7	GO:0055114	oxidation-reduction process	Biological Process
A0A1H6PKM5	GO:0005743	mitochondrial inner membrane	Cellular Component
A0A1H6PKM5	GO:0015095	magnesium ion transmembrane transporter activity	Molecular Function
A0A1H6PKM5	GO:0016021	integral component of membrane	Cellular Component
A0A1H6PKM5	GO:1990616	magnesium ion export from mitochondrion	Biological Process
A0A1H6PLB0	GO:0004222	metalloendopeptidase activity	Molecular Function
A0A1H6PLB0	GO:0005515	protein binding	Molecular Function
A0A1H6PLB0	GO:0005743	mitochondrial inner membrane	Cellular Component
A0A1H6PLB0	GO:0006627	protein processing involved in protein targeting to mitochondrion	Biological Process
A0A1H6PLB0	GO:0008270	zinc ion binding	Molecular Function
A0A1H6PLB0	GO:0017087	mitochondrial processing peptidase complex	Cellular Component
A0A1D8N4Q5			
A0A1D8N752			
A0A1D8N7N6			
A0A1D8NAK7	GO:0004799	thymidylate synthase activity	Molecular Function
A0A1D8NAK7	GO:0006231	dTMP biosynthetic process	Biological Process
A0A1D8NAK7	GO:0032259	methylation	Biological Process
A0A1D8NAK7	GO:0034399	nuclear periphery	Cellular Component
A0A1D8NHM1			
A0A1D8NNF4	GO:0003723	RNA binding	Molecular Function
A0A1D8NHR7			
A0A1D8NAY3			
A0A1D8NP88	GO:0006729	tetrahydrobiopterin biosynthetic process	Biological Process
A0A1D8NP88	GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity	Molecular Function
A0A1H6PRT5			
A0A1D8NPE5			
A0A1D8NKU0			
A0A1D8NDD8	GO:0005576	extracellular region	Cellular Component
A0A1D8NHH5	GO:0016787	hydrolase activity	Molecular Function
A0A1D8NKV7	GO:0002181	cytoplasmic translation	Biological Process
A0A1D8NKV7	GO:0003735	structural constituent of ribosome	Molecular Function
A0A1D8NKV7	GO:0022625	cytosolic large ribosomal subunit	Cellular Component
A0A1D8NKV7	GO:0042273	ribosomal large subunit biogenesis	Biological Process
A0A1D8NHY7	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	Molecular Function
A0A1D8NHY7	GO:0005634	nucleus	Cellular Component
A0A1D8NHY7	GO:0006357	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NHY7	GO:0008270	zinc ion binding	Molecular Function
A0A1D8NNN2			
A0A1H6PN70	GO:0016491	oxidoreductase activity	Molecular Function
A0A1H6PN70	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NCZ8	GO:0000301	retrograde transport, vesicle recycling within Golgi	Biological Process
A0A1D8NCZ8	GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	Biological Process
A0A1D8NCZ8	GO:0007030	Golgi organization	Biological Process
A0A1D8NCZ8	GO:0017119	Golgi transport complex	Cellular Component
A0A1D8NCZ8	GO:0048213	Golgi vesicle prefusion complex stabilization	Biological Process
A0A1D8NM60			
A0A1D8NE11	GO:0004165	dodecenoyl-CoA delta-isomerase activity	Molecular Function
A0A1D8NE11	GO:0005777	peroxisome	Cellular Component
A0A1D8NE11	GO:0008152	metabolic process	Biological Process
A0A1D8N804	GO:0000187	activation of MAPK activity	Biological Process
A0A1D8N804	GO:0004596	peptide alpha-N-acetyltransferase activity	Molecular Function
A0A1D8N804	GO:0004674	protein serine/threonine kinase activity	Molecular Function
A0A1D8N804	GO:0004708	MAP kinase kinase activity	Molecular Function
A0A1D8N804	GO:0005078	MAP-kinase scaffold activity	Molecular Function
A0A1D8N804	GO:0005524	ATP binding	Molecular Function
A0A1D8N804	GO:0005634	nucleus	Cellular Component
A0A1D8N804	GO:0005934	cellular bud tip	Cellular Component
A0A1D8N804	GO:0005935	cellular bud neck	Cellular Component
A0A1D8N804	GO:0006972	hyperosmotic response	Biological Process
A0A1D8N804	GO:0007015	actin filament organization	Biological Process
A0A1D8N804	GO:0007231	osmosensory signaling pathway	Biological Process
A0A1D8N804	GO:0010494	cytoplasmic stress granule	Cellular Component
A0A1D8N804	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	Biological Process
A0A1D8N804	GO:0031416	NatB complex	Cellular Component
A0A1D8N804	GO:0034599	cellular response to oxidative stress	Biological Process
A0A1D8N804	GO:0034605	cellular response to heat	Biological Process
A0A1D8N804	GO:0042307	positive regulation of protein import into nucleus	Biological Process
A0A1D8N804	GO:0042981	regulation of apoptotic process	Biological Process
A0A1D8N804	GO:0051403	stress-activated MAPK cascade	Biological Process
A0A1D8N804	GO:1990315	Mcs4 RR-MAPKKK complex	Cellular Component
A0A1D8N537			
A0A1D8NNT0			
A0A1H6Q7W8	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	Cellular Component
A0A1H6Q7W8	GO:0000790	nuclear chromatin	Cellular Component
A0A1H6Q7W8	GO:0004693	cyclin-dependent protein serine/threonine kinase activity	Molecular Function
A0A1H6Q7W8	GO:0005524	ATP binding	Molecular Function
A0A1H6Q7W8	GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity	Molecular Function
A0A1H6Q7W8	GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	Biological Process
A0A1H6Q7W8	GO:0051726	regulation of cell cycle	Biological Process
A0A1H6Q7W8	GO:0070816	phosphorylation of RNA polymerase II C-terminal domain	Biological Process
A0A1H6PSC6	GO:0000781	chromosome, telomeric region	Cellular Component
A0A1H6PSC6	GO:0005634	nucleus	Cellular Component
A0A1H6PSC6	GO:0006355	regulation of transcription, DNA-templated	Biological Process
A0A1H6PSC6	GO:0008033	tRNA processing	Biological Process
A0A1H6PKI9			
A0A1D8NP05			
A0A1D8NQM5	GO:0003924	GTPase activity	Molecular Function
A0A1D8NQM5	GO:0005515	protein binding	Molecular Function
A0A1D8NQM5	GO:0005525	GTP binding	Molecular Function
A0A1D8NQM5	GO:0005802	trans-Golgi network	Cellular Component
A0A1D8NQM5	GO:0005829	cytosol	Cellular Component
A0A1D8NQM5	GO:0006623	protein targeting to vacuole	Biological Process
A0A1D8NQM5	GO:0006897	endocytosis	Biological Process
A0A1D8NQM5	GO:0032258	protein localization by the Cvt pathway	Biological Process
A0A1D8NQM5	GO:0034067	protein localization to Golgi apparatus	Biological Process
A0A1D8NQM5	GO:0034497	protein localization to phagophore assembly site	Biological Process
A0A1D8NQM5	GO:0034629	cellular protein-containing complex localization	Biological Process
A0A1D8NQM5	GO:0034976	response to endoplasmic reticulum stress	Biological Process
A0A1D8NQM5	GO:0043001	Golgi to plasma membrane protein transport	Biological Process
A0A1D8NCT8			
A0A1D8N8U7			
A0A1D8N940			
A0A1D8NE26			
A0A1D8NH99	GO:0048037	cofactor binding	Molecular Function
A0A1D8NK77	GO:0006076	(1->3)-beta-D-glucan catabolic process	Biological Process
A0A1D8NK77	GO:0009986	cell surface	Cellular Component
A0A1D8NK77	GO:0042973	glucan endo-1,3-beta-D-glucosidase activity	Molecular Function
A0A1D8NK77	GO:0052861	glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group	Molecular Function
A0A1D8NJG3	GO:0005634	nucleus	Cellular Component
A0A1D8NJG3	GO:0005694	chromosome	Cellular Component
A0A1D8NJG3	GO:0034770	histone H4-K20 methylation	Biological Process
A0A1D8NJG3	GO:0042799	histone methyltransferase activity (H4-K20 specific)	Molecular Function
A0A1D8NMS8	GO:0001054	RNA polymerase I activity	Molecular Function
A0A1D8NMS8	GO:0001055	RNA polymerase II activity	Molecular Function
A0A1D8NMS8	GO:0001056	RNA polymerase III activity	Molecular Function
A0A1D8NMS8	GO:0001172	transcription, RNA-templated	Biological Process
A0A1D8NMS8	GO:0003968	RNA-directed 5'-3' RNA polymerase activity	Molecular Function
A0A1D8NMS8	GO:0005665	RNA polymerase II, core complex	Cellular Component
A0A1D8NMS8	GO:0005666	RNA polymerase III complex	Cellular Component
A0A1D8NMS8	GO:0005736	RNA polymerase I complex	Cellular Component
A0A1D8NMS8	GO:0006360	transcription by RNA polymerase I	Biological Process
A0A1D8NMS8	GO:0006366	transcription by RNA polymerase II	Biological Process
A0A1D8NMS8	GO:0042797	tRNA transcription by RNA polymerase III	Biological Process
A0A1D8NNW5			
A0A1D8N979			
A0A1D8NFM3			
A0A1D8NQQ5			
A0A1D8N6E1	GO:0000149	SNARE binding	Molecular Function
A0A1D8N6E1	GO:0005484	SNAP receptor activity	Molecular Function
A0A1D8N6E1	GO:0006887	exocytosis	Biological Process
A0A1D8N6E1	GO:0006897	endocytosis	Biological Process
A0A1D8N6E1	GO:0006906	vesicle fusion	Biological Process
A0A1D8N6E1	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N6E1	GO:0031201	SNARE complex	Cellular Component
A0A1D8NQG6	GO:0005737	cytoplasm	Cellular Component
A0A1D8NQG6	GO:0006541	glutamine metabolic process	Biological Process
A0A1D8NQG6	GO:0006751	glutathione catabolic process	Biological Process
A0A1D8NQG6	GO:0016740	transferase activity	Molecular Function
A0A1D8NQG6	GO:0016787	hydrolase activity	Molecular Function
A0A1D8NQG6	GO:0061672	glutathione hydrolase complex	Cellular Component
A0A1D8N4P5	GO:0008962	phosphatidylglycerophosphatase activity	Molecular Function
