genes	Goterms	Annotation GO Category
Q9UUU1	NAD binding	Molecular Function
Q9UUU1	oxidation-reduction process	Biological Process
Q9UVE8	ribosomal large subunit assembly	Biological Process
Q9UVE8	ribosomal large subunit export from nucleus	Biological Process
Q9UVE8	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
Q9UVE8	"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
Q9UVE8	nucleolus	Cellular Component
Q9UVE8	"preribosome, large subunit precursor"	Cellular Component
Q9UVE8	rRNA primary transcript binding	Molecular Function
A0A1D8NDR5	"RNA splicing, via transesterification reactions"	Biological Process
A0A1D8NDR5	second spliceosomal transesterification activity	Molecular Function
A0A1D8NDR5	spliceosomal complex	Cellular Component
A0A1D8NDR5	mRNA processing	Biological Process
A0A1D8NDR5	metal ion binding	Molecular Function
A0A1D8NDU5		
A0A1D8N3V2	pheromone-dependent signal transduction involved in conjugation with cellular fusion	Biological Process
A0A1D8N3V2	cytoplasm	Cellular Component
A0A1D8N3V2	heterotrimeric G-protein complex	Cellular Component
A0A1D8N3V2	G protein-coupled receptor signaling pathway	Biological Process
A0A1D8N3V2	enzyme activator activity	Molecular Function
A0A1D8N3V2	cAMP-mediated signaling	Biological Process
A0A1D8N3V2	positive regulation of catalytic activity	Biological Process
A0A1D8NMY3		
A0A1D8N947		
A0A1D8NLG9		
A0A1D8NFR6		
A0A1D8NHI3	nucleic acid binding	Molecular Function
A0A1D8NHI3	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8NHI3	Ski complex	Cellular Component
A0A1D8NHI3	"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay"	Biological Process
A0A1H6Q4I0	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1H6Q4I0	cytoplasmic translation	Biological Process
A0A1H6Q4I0	RNA binding	Molecular Function
A0A1H6Q4I0	structural constituent of ribosome	Molecular Function
A0A1H6Q4I0	cytosolic small ribosomal subunit	Cellular Component
A0A1H6Q4I0	yeast-form cell wall	Cellular Component
A0A1H6Q4I0	hyphal cell wall	Cellular Component
A0A1D8NM23		
A0A1D8NJL0	protein tyrosine phosphatase activity	Molecular Function
A0A1D8NJL0	cytoplasm	Cellular Component
A0A1D8NJL0	cellular response to oxidative stress	Biological Process
A0A1D8NJL0	peptidyl-tyrosine dephosphorylation	Biological Process
A0A1H6PNW2	carbonate dehydratase activity	Molecular Function
A0A1H6PNW2	mitochondrial intermembrane space	Cellular Component
A0A1H6PNW2	zinc ion binding	Molecular Function
A0A1H6PNW2	carbon utilization	Biological Process
A0A1H6PNW2	cellular response to oxidative stress	Biological Process
A0A1H6PNW2	cellular response to carbon dioxide	Biological Process
A0A1D8N4R1	asparagine synthase (glutamine-hydrolyzing) activity	Molecular Function
A0A1D8N4R1	ATP binding	Molecular Function
A0A1D8N4R1	asparagine biosynthetic process	Biological Process
A0A1D8N4R1	glutamine metabolic process	Biological Process
A0A1D8N4R1	protein homodimerization activity	Molecular Function
A0A1D8NK87	NADH dehydrogenase activity	Molecular Function
A0A1D8NK87	mitochondrion	Cellular Component
A0A1D8NK87	oxidation-reduction process	Biological Process
A0A1D8NK87	ubiquinone-6 biosynthetic process	Biological Process
A0A1D8NNK3	transport	Biological Process
A0A1D8NNK3	integral component of membrane	Cellular Component
A0A1D8N4F5		
A0A1D8N9T7	integral component of membrane	Cellular Component
A0A1H6PNJ1	negative regulation of transcription by RNA polymerase II	Biological Process
A0A1H6PNJ1	histone deacetylase activity	Molecular Function
A0A1H6PNJ1	histone deacetylation	Biological Process
A0A1H6PNJ1	histone deacetylase binding	Molecular Function
A0A1H6PNJ1	Sin3-type complex	Cellular Component
A0A1D8N9D8		
A0A1D8NP29	integral component of membrane	Cellular Component
A0A1H6PSJ6	ribonuclease P activity	Molecular Function
A0A1H6PSJ6	nucleolar ribonuclease P complex	Cellular Component
A0A1H6PSJ6	tRNA processing	Biological Process
A0A1H6PSJ6	"RNA phosphodiester bond hydrolysis, endonucleolytic"	Biological Process
A0A1D8NMY5		
A0A1D8NPK9	formation of cytoplasmic translation initiation complex	Biological Process
A0A1D8NPK9	translation initiation factor activity	Molecular Function
A0A1D8NPK9	nucleus	Cellular Component
A0A1D8NPK9	cytosol	Cellular Component
A0A1D8NPK9	eukaryotic 43S preinitiation complex	Cellular Component
A0A1D8NPK9	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NPK9	eukaryotic 48S preinitiation complex	Cellular Component
A0A1D8NPK9	eukaryotic translation initiation factor 3 complex assembly	Biological Process
A0A1D8NPK9	"eukaryotic translation initiation factor 3 complex, eIF3e"	Cellular Component
A0A1D8NPK9	positive regulation of protein localization to nucleus	Biological Process
A0A1H6PQ51	thiamine diphosphokinase activity	Molecular Function
A0A1H6PQ51	ATP binding	Molecular Function
A0A1H6PQ51	thiamine metabolic process	Biological Process
A0A1H6PQ51	thiamine diphosphate biosynthetic process	Biological Process
A0A1H6PQ51	kinase activity	Molecular Function
A0A1H6PQ51	phosphorylation	Biological Process
A0A1H6PQ51	thiamine binding	Molecular Function
A0A1D8N4V2	integral component of membrane	Cellular Component
A0A1D8N4V2	transmembrane transport	Biological Process
A0A1D8NLK4		
A0A1D8N7K2	"alpha-1,6-mannosyltransferase activity"	Molecular Function
A0A1D8N7K2	cell wall mannoprotein biosynthetic process	Biological Process
A0A1D8N7K2	"alpha-1,6-mannosyltransferase complex"	Cellular Component
A0A1D8N7K2	cis-Golgi network	Cellular Component
A0A1D8N7K2	protein N-linked glycosylation	Biological Process
A0A1D8N7K2	mannosylation	Biological Process
A0A1H6Q092	nucleic acid binding	Molecular Function
A0A1H6Q3S7	negative regulation of transcription by RNA polymerase II	Biological Process
A0A1H6Q3S7	protein kinase CK2 complex	Cellular Component
A0A1H6Q3S7	regulation of transcription by RNA polymerase I	Biological Process
A0A1H6Q3S7	regulation of transcription by RNA polymerase III	Biological Process
A0A1H6Q3S7	cellular response to DNA damage stimulus	Biological Process
A0A1H6Q3S7	kinase activity	Molecular Function
A0A1H6Q3S7	peptidyl-serine phosphorylation	Biological Process
A0A1H6Q3S7	peptidyl-threonine phosphorylation	Biological Process
A0A1H6Q3S7	protein serine/threonine kinase inhibitor activity	Molecular Function
A0A1H6Q3S7	CURI complex	Cellular Component
A0A1H6Q3S7	UTP-C complex	Cellular Component
A0A1H6Q3S7	negative regulation of DNA-binding transcription factor activity	Biological Process
A0A1H6Q3S7	protein serine/threonine kinase activator activity	Molecular Function
A0A1H6Q3S7	negative regulation of protein serine/threonine kinase activity	Biological Process
A0A1H6Q3S7	positive regulation of protein serine/threonine kinase activity	Biological Process
A0A1D8NQ60	mitochondrial inner membrane	Cellular Component
A0A1D8NQ60	ubiquinone biosynthetic process	Biological Process
A0A1D8NQ60	lipid binding	Molecular Function
A0A1D8NQA6	integral component of plasma membrane	Cellular Component
A0A1D8NQA6	transmembrane transporter activity	Molecular Function
A0A1D8NQA6	transmembrane transport	Biological Process
A0A1D8NIT5	chorismate mutase activity	Molecular Function
A0A1D8NIT5	cytoplasm	Cellular Component
A0A1D8NIT5	tyrosine biosynthetic process	Biological Process
A0A1D8NIT5	L-phenylalanine biosynthetic process	Biological Process
A0A1D8NIT5	chorismate metabolic process	Biological Process
A0A1D8NMU3	calcium ion binding	Molecular Function
A0A1D8NMU3	endoplasmic reticulum	Cellular Component
A0A1D8NMU3	integral component of membrane	Cellular Component
A0A1H6PSH6		
A0A1D8N3X8		
A0A1D8NJ23	SNAP receptor activity	Molecular Function
A0A1D8NJ23	plasma membrane	Cellular Component
A0A1D8NJ23	exocytosis	Biological Process
A0A1D8NJ23	vesicle fusion	Biological Process
A0A1D8NJ23	protein transport	Biological Process
A0A1D8NJ23	syntaxin binding	Molecular Function
A0A1D8NJ23	SNARE complex	Cellular Component
A0A1D8NGC3	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NGC3	RNA binding	Molecular Function
A0A1D8NGC3	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8NGC3	ATP binding	Molecular Function
A0A1D8NGC3	nucleolus	Cellular Component
A0A1D8NGC3	cytoplasm	Cellular Component
A0A1D8NGC3	small-subunit processome	Cellular Component
A0A1D8NF04		
A0A1D8NAG9	integral component of membrane	Cellular Component
A0A1D8NIU5	mitochondrial inner membrane	Cellular Component
A0A1D8NIU5	mitochondrial transport	Biological Process
A0A1D8NIU5	integral component of membrane	Cellular Component
A0A1D8NIU5	transmembrane transporter activity	Molecular Function
A0A1D8NIU5	transmembrane transport	Biological Process
A0A1D8NH24		
A0A1D8NLA1	"nuclear chromosome, telomeric region"	Cellular Component
A0A1D8NLA1	condensed nuclear chromosome inner kinetochore	Cellular Component
A0A1D8NLA1	protein binding	Molecular Function
A0A1D8NLA1	ATP binding	Molecular Function
A0A1D8NLA1	cytoplasm	Cellular Component
A0A1D8NLA1	kinetochore microtubule	Cellular Component
A0A1D8NLA1	positive regulation of G2/M transition of mitotic cell cycle	Biological Process
A0A1D8NLA1	spindle pole centrosome	Cellular Component
A0A1D8NLA1	cellular response to nutrient	Biological Process
A0A1D8NLA1	chromosome passenger complex	Cellular Component
A0A1D8NLA1	meiotic spindle assembly checkpoint	Biological Process
A0A1D8NLA1	protein localization to kinetochore	Biological Process
A0A1D8NLA1	protein localization to nucleolar rDNA repeats	Biological Process
A0A1D8NLA1	histone kinase activity (H3-S10 specific)	Molecular Function
A0A1D8NLA1	histone H3-S10 phosphorylation	Biological Process
A0A1D8NLA1	mitotic DNA integrity checkpoint	Biological Process
A0A1D8NLA1	meiotic sister chromatid segregation	Biological Process
A0A1D8NLA1	mitotic spindle disassembly	Biological Process
A0A1D8NLA1	attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation	Biological Process
A0A1D8NLA1	positive regulation of mitotic cell cycle spindle assembly checkpoint	Biological Process
A0A1D8NLA1	"correction of merotelic kinetochore attachment, meiosis I"	Biological Process
A0A1D8NLA1	"correction of merotelic kinetochore attachment, mitotic"	Biological Process
A0A1D8NLA1	interphase mitotic telomere clustering	Biological Process
A0A1D8NLA1	regulation of mitotic spindle assembly	Biological Process
A0A1D8NLA1	negative regulation of protein import into nucleus during spindle assembly checkpoint	Biological Process
A0A1D8NLA1	regulation of mitotic cytokinesis	Biological Process
A0A1D8NLA1	positive regulation of mitotic chromosome condensation	Biological Process
A0A1D8NLA1	positive regulation of mitotic sister chromatid arm separation	Biological Process
A0A1D8NLA1	mitotic spindle midzone	Cellular Component
A0A1D8NLA1	meiotic spindle midzone	Cellular Component
A0A1D8NN66	protein phosphatase inhibitor activity	Molecular Function
A0A1D8NN66	cytoplasm	Cellular Component
A0A1D8NN66	chromatin silencing	Biological Process
A0A1D8NN66	positive regulation of G2/M transition of mitotic cell cycle	Biological Process
A0A1D8NN66	establishment of cell polarity	Biological Process
A0A1D8NN66	cell septum	Cellular Component
A0A1D8NN66	negative regulation of phosphoprotein phosphatase activity	Biological Process
A0A1H6Q8R2	nucleic acid binding	Molecular Function
A0A1H6Q8R2	nucleus	Cellular Component
A0A1D8N9W3		
A0A1D8NBF0	Prp19 complex	Cellular Component
A0A1D8NBF0	mRNA processing	Biological Process
A0A1D8NBF0	precatalytic spliceosome	Cellular Component
A0A1D8NBF0	catalytic step 2 spliceosome	Cellular Component
A0A1D8NBQ9	tRNA wobble position uridine thiolation	Biological Process
A0A1D8NBQ9	nucleus	Cellular Component
A0A1D8NBQ9	mitochondrion	Cellular Component
A0A1D8NBQ9	cellular iron ion homeostasis	Biological Process
A0A1D8NBQ9	pyridoxal phosphate binding	Molecular Function
A0A1D8NBQ9	cysteine desulfurase activity	Molecular Function
A0A1D8NBQ9	[2Fe-2S] cluster assembly	Biological Process
A0A1D8NBQ9	mitochondrial tRNA thio-modification	Biological Process
A0A1D8NBQ9	L-cysteine desulfurase complex	Cellular Component
A0A1D8NKS6	"mRNA splicing, via spliceosome"	Biological Process
A0A1D8NKS6	spliceosomal complex	Cellular Component
A0A1D8NKS6	U2 snRNP	Cellular Component
A0A1D8NKS6	U2 snRNA binding	Molecular Function
A0A1D8NME6		
A0A1D8NKH7	structural constituent of ribosome	Molecular Function
A0A1D8NKH7	ribosome	Cellular Component
A0A1D8NKH7	translation	Biological Process
A0A1D8NGM3		
A0A1D8NHG1	nuclear export signal receptor activity	Molecular Function
A0A1D8NHG1	nuclear envelope	Cellular Component
A0A1D8NHG1	cytosol	Cellular Component
A0A1D8NHG1	protein import into nucleus	Biological Process
A0A1D8NHG1	Ran GTPase binding	Molecular Function
A0A1D8NHG1	protein-containing complex	Cellular Component
A0A1D8NHG1	nuclear periphery	Cellular Component
A0A1D8NHG1	positive regulation of protein export from nucleus	Biological Process
A0A1H6PIA5	GTPase activator activity	Molecular Function
A0A1H6PIA5	positive regulation of GTPase activity	Biological Process
A0A1H6PIA5	intracellular part	Cellular Component
A0A1D8NFT4	"N,N-dimethylaniline monooxygenase activity"	Molecular Function
A0A1D8NFT4	flavin adenine dinucleotide binding	Molecular Function
A0A1D8NFT4	NADP binding	Molecular Function
A0A1D8NFT4	oxidation-reduction process	Biological Process
A0A1D8NHT5		
A0A1H6PK73	integral component of membrane	Cellular Component
A0A1H6Q786	mitochondrial intermembrane space	Cellular Component
A0A1H6Q786	phospholipid transport	Biological Process
A0A1H6Q786	phosphatidic acid transporter activity	Molecular Function
A0A1D8NJM4	carbohydrate:proton symporter activity	Molecular Function
A0A1D8NJM4	glucose transmembrane transporter activity	Molecular Function
A0A1D8NJM4	integral component of membrane	Cellular Component
A0A1D8NJM4	glucose import	Biological Process
A0A1D8NJM4	proton transmembrane transport	Biological Process
A0A1D8N682	phospholipid binding	Molecular Function
A0A1D8N682	protein import into nucleus	Biological Process
A0A1D8N682	structural constituent of nuclear pore	Molecular Function
A0A1D8N682	nuclear pore central transport channel	Cellular Component
A0A1D8N682	ribonucleoprotein complex export from nucleus	Biological Process
A0A1H6Q500	lipid droplet	Cellular Component
A0A1D8N3G2	carbohydrate:proton symporter activity	Molecular Function
A0A1D8N3G2	glucose transmembrane transporter activity	Molecular Function
A0A1D8N3G2	integral component of membrane	Cellular Component
A0A1D8N3G2	glucose import	Biological Process
A0A1D8N3G2	proton transmembrane transport	Biological Process
A0A1D8N571		
A0A1D8NGE3	mitochondrion	Cellular Component
A0A1D8NGE3	NADH dehydrogenase (ubiquinone) activity	Molecular Function
A0A1D8NGE3	electron transfer activity	Molecular Function
A0A1D8NGE3	membrane	Cellular Component
A0A1D8NGE3	electron transport chain	Biological Process
A0A1D8NGE3	cellular respiration	Biological Process
A0A1D8N4G9	fungal-type cell wall	Cellular Component
A0A1H6PX70	integral component of membrane	Cellular Component
A0A1H6PHC9	integral component of membrane	Cellular Component
A0A1H6PHC9	transmembrane transport	Biological Process
A0A1D8NCU1	aspartic-type endopeptidase activity	Molecular Function
A0A1D8NCU1	proteolysis	Biological Process
A0A1D8NCU1	protein catabolic process	Biological Process
A0A1D8NI98	Doa10p ubiquitin ligase complex	Cellular Component
A0A1D8NI98	Hrd1p ubiquitin ligase ERAD-L complex	Cellular Component
A0A1D8NI98	ubiquitin-dependent ERAD pathway	Biological Process
A0A1D8NI98	"retrograde protein transport, ER to cytosol"	Biological Process
A0A1D8NI98	ubiquitin protein ligase binding	Molecular Function
A0A1D8NI98	nuclear membrane	Cellular Component
A0A1D8NI98	VCP-NPL4-UFD1 AAA ATPase complex	Cellular Component
A0A1D8NI98	Cdc48p-Npl4p-Vms1p AAA ATPase complex	Cellular Component
A0A1D8NI98	ubiquitin binding	Molecular Function
A0A1D8NI98	perinuclear region of cytoplasm	Cellular Component
A0A1D8NI98	mRNA transport	Biological Process
A0A1D8NI98	mitotic spindle disassembly	Biological Process
A0A1D8NI98	negative regulation of telomerase activity	Biological Process
A0A1D8NI98	nonfunctional rRNA decay	Biological Process
A0A1D8NI98	cytoplasm protein quality control by the ubiquitin-proteasome system	Biological Process
A0A1D8NI98	ER-associated misfolded protein catabolic process	Biological Process
A0A1D8NI98	protein localization to vacuole	Biological Process
A0A1D8NI98	mitochondria-associated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NI98	positive regulation of protein localization to nucleus	Biological Process
A0A1D8NI98	RQC complex	Cellular Component
A0A1D8NI98	ribosome-associated ubiquitin-dependent protein catabolic process	Biological Process
A0A1H6PWZ9	catalytic activity	Molecular Function
A0A1D8N712		
A0A1D8N7G5	microtubule cytoskeleton	Cellular Component
A0A1D8N7G5	cytoskeletal part	Cellular Component
A0A1D8NBR2	tRNA binding	Molecular Function
A0A1D8NBR2	phenylalanine-tRNA ligase activity	Molecular Function
A0A1D8NBR2	ATP binding	Molecular Function
A0A1D8NBR2	mitochondrion	Cellular Component
A0A1D8NBR2	mitochondrial phenylalanyl-tRNA aminoacylation	Biological Process
A0A1D8NMU5		
A0A1H6PM57		
A0A1H6Q167		
A0A1D8N3X1		
A0A1D8N9H2	mitotic sister chromatid segregation	Biological Process
A0A1D8N9H2	anaphase-promoting complex binding	Molecular Function
A0A1D8N9H2	anaphase-promoting complex-dependent catabolic process	Biological Process
A0A1D8N9H2	mitotic checkpoint complex	Cellular Component
A0A1D8N9H2	cellular protein localization	Biological Process
A0A1D8N9H2	positive regulation of ubiquitin protein ligase activity	Biological Process
A0A1D8N9H2	ubiquitin ligase activator activity	Molecular Function
A0A1D8NBS6	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1D8NBS6	"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NBS6	nucleus	Cellular Component
A0A1D8NBS6	zinc ion binding	Molecular Function
A0A1D8NBS6	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	Biological Process
A0A1D8NJ09		
A0A1D8NLF6	integral component of membrane	Cellular Component
A0A1D8NNE1	ATP binding	Molecular Function
A0A1D8NNE1	kinesin complex	Cellular Component
A0A1D8NNE1	microtubule	Cellular Component
A0A1D8NNE1	microtubule-based movement	Biological Process
A0A1D8NNE1	chromosome segregation	Biological Process
A0A1D8NNE1	microtubule binding	Molecular Function
A0A1D8NNE1	"ATP-dependent microtubule motor activity, plus-end-directed"	Molecular Function
A0A1D8NNE1	mitotic spindle assembly	Biological Process
A0A1D8NBF6	RNA binding	Molecular Function
A0A1D8N3J6		
A0A1D8N5Z0		
A0A1D8NI76	chromatin	Cellular Component
A0A1D8NI76	nucleus	Cellular Component
A0A1D8NI76	DNA repair	Biological Process
A0A1D8NI76	mitotic sister chromatid cohesion	Biological Process
A0A1H6PQT5	ATP binding	Molecular Function
A0A1H6PQT5	integral component of membrane	Cellular Component
A0A1H6PQT5	"ATPase activity, coupled to transmembrane movement of substances"	Molecular Function
A0A1H6PQT5	cell part	Cellular Component
A0A1H6PQT5	transmembrane transport	Biological Process
A0A1H6PNA0	mitochondrion	Cellular Component
A0A1H6PNA0	3-oxoacid CoA-transferase activity	Molecular Function
A0A1H6PNA0	aromatic compound catabolic process	Biological Process
A0A1H6PNA0	ketone body catabolic process	Biological Process
A0A1H6PNA0	3-oxoadipate CoA-transferase activity	Molecular Function
A0A1H6QBM9	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1H6QBM9	nucleolus	Cellular Component
A0A1D8NL39	Rab GDP-dissociation inhibitor activity	Molecular Function
A0A1D8NL39	intracellular	Cellular Component
A0A1D8NL39	small GTPase mediated signal transduction	Biological Process
A0A1D8NL39	protein transport	Biological Process
A0A1D8NL39	vesicle-mediated transport	Biological Process
A0A1D8NL39	regulation of catalytic activity	Biological Process
A0A1D8NPW7	tRNA wobble uridine modification	Biological Process
A0A1D8NPW7	iron ion binding	Molecular Function
A0A1D8NPW7	nucleus	Cellular Component
A0A1D8NPW7	cytoplasm	Cellular Component
A0A1D8NPW7	zinc ion binding	Molecular Function
A0A1D8NPW7	electron transfer activity	Molecular Function
A0A1D8NPW7	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	Biological Process
A0A1D8NPW7	electron transport chain	Biological Process
A0A1D8N9P9	RNA binding	Molecular Function
A0A1H6PN94	mitochondrion	Cellular Component
A0A1D8N4I1	integral component of membrane	Cellular Component
A0A1D8N4I1	transmembrane transport	Biological Process
A0A1D8NAF9		
A0A1D8NCI5	structural constituent of ribosome	Molecular Function
A0A1D8NCI5	mitochondrial small ribosomal subunit	Cellular Component
A0A1D8NCI5	mitochondrial translation	Biological Process
A0A1D8NAF2	integral component of membrane	Cellular Component
A0A1D8NPZ2	transporter activity	Molecular Function
A0A1D8NPZ2	ion transmembrane transport	Biological Process
A0A1D8NPZ2	integral component of fungal-type vacuolar membrane	Cellular Component
A0A1D8N985		
A0A1D8NCL9	cytoplasm	Cellular Component
A0A1D8NCL9	ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NCL9	ubiquitin conjugating enzyme binding	Molecular Function
A0A1D8NCL9	ubiquitin binding	Molecular Function
A0A1D8NIW9	fungal-type vacuole membrane	Cellular Component
A0A1D8NIW9	integral component of plasma membrane	Cellular Component
A0A1D8NIW9	basic amino acid transmembrane transporter activity	Molecular Function
A0A1D8NIW9	basic amino acid transmembrane transport	Biological Process
A0A1D8NG73	NMS complex	Cellular Component
A0A1D8NG73	protein localization to kinetochore	Biological Process
A0A1D8N7V1	RNA binding	Molecular Function
A0A1D8N7V1	chromosome	Cellular Component
A0A1D8N7V1	histone-lysine N-methyltransferase activity	Molecular Function
A0A1D8N7V1	histone lysine methylation	Biological Process
A0A1D8N7V1	Set1C/COMPASS complex	Cellular Component
A0A1D8NDJ8	catalytic activity	Molecular Function
A0A1D8NDJ8	coenzyme binding	Molecular Function
A0A1D8N4L2		
A0A1D8NBH5	cytoplasm	Cellular Component
A0A1D8NBH5	protein folding	Biological Process
A0A1D8NBH5	developmental process	Biological Process
A0A1D8NBH5	unfolded protein binding	Molecular Function
A0A1D8NP34	DNA binding	Molecular Function
A0A1D8NP34	cellular macromolecule metabolic process	Biological Process
A0A1D8NP34	nucleic acid metabolic process	Biological Process
A0A1D8NND5	double-strand break repair via homologous recombination	Biological Process
A0A1D8NND5	nucleolus	Cellular Component
A0A1D8NND5	nucleotide-excision repair	Biological Process
A0A1D8NND5	checkpoint clamp complex	Cellular Component
A0A1D8NND5	intra-S DNA damage checkpoint	Biological Process
A0A1D8NND5	mitotic DNA replication checkpoint	Biological Process
A0A1D8NND5	site of double-strand break	Cellular Component
A0A1D8NND5	meiotic DNA integrity checkpoint	Biological Process
A0A1D8N7Q3		
A0A1D8ND34	nucleus	Cellular Component
A0A1D8ND34	cytosol	Cellular Component
A0A1D8ND34	"proteasome regulatory particle, base subcomplex"	Cellular Component
A0A1D8ND34	polyubiquitin modification-dependent protein binding	Molecular Function
A0A1D8ND34	proteasome-mediated ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8ND34	proteasome assembly	Biological Process
A0A1D8NE37	tryptophan biosynthetic process	Biological Process
A0A1D8NE37	anthranilate synthase activity	Molecular Function
A0A1D8NE37	indole-3-glycerol-phosphate synthase activity	Molecular Function
A0A1D8NE37	protein binding	Molecular Function
A0A1D8NE37	anthranilate synthase complex	Cellular Component
A0A1D8NE37	glutamine metabolic process	Biological Process
A0A1D8N8G3		
A0A1H6PQW5	mitochondrion	Cellular Component
A0A1H6PQW5	endosomal transport	Biological Process
A0A1H6PQW5	BLOC-1 complex	Cellular Component
A0A1H6PYZ8	nuclear pore	Cellular Component
A0A1D8NNQ0	protein serine/threonine kinase activity	Molecular Function
A0A1D8NNQ0	ATP binding	Molecular Function
A0A1D8NNQ0	intracellular	Cellular Component
A0A1D8NNQ0	peptidyl-serine phosphorylation	Biological Process
A0A1D8NNQ0	peptidyl-threonine phosphorylation	Biological Process
A0A1D8NNQ0	intracellular signal transduction	Biological Process
A0A1D8N7V9		
A0A1D8N8S4	oxidoreductase activity	Molecular Function
A0A1D8N8S4	oxidation-reduction process	Biological Process
A0A1D8NB56		
A0A1D8NI54	Golgi membrane	Cellular Component
A0A1D8NI54	protein N-linked glycosylation	Biological Process
A0A1D8NI54	fungal-type cell wall biogenesis	Biological Process
A0A1D8NI54	integral component of membrane	Cellular Component
A0A1D8NI54	"alpha-1,2-galactosyltransferase activity"	Molecular Function
A0A1D8NI54	protein galactosylation	Biological Process
A0A1D8N812		
A0A1D8N8C9	GTPase activity	Molecular Function
A0A1D8N8C9	GTP binding	Molecular Function
A0A1D8N8C9	intracellular	Cellular Component
A0A1D8N8C9	tRNA modification	Biological Process
A0A1D8NM78		
A0A1D8N5H7	fungal-type vacuole	Cellular Component
A0A1D8N5H7	ATP binding	Molecular Function
A0A1D8N5H7	vacuolar membrane	Cellular Component
A0A1D8N5H7	integral component of plasma membrane	Cellular Component
A0A1D8N5H7	peptide-transporting ATPase activity	Molecular Function
A0A1D8N5H7	amide transport	Biological Process
A0A1D8N5H7	transmembrane transport	Biological Process
A0A1D8NBZ4		
A0A1D8NP56	anaphase-promoting complex	Cellular Component
A0A1D8NP56	regulation of mitotic metaphase/anaphase transition	Biological Process
A0A1D8NP56	anaphase-promoting complex-dependent catabolic process	Biological Process
A0A1D8NKW7	"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"	Cellular Component
A0A1D8NKW7	structural molecule activity	Molecular Function
A0A1D8NKW7	ATP synthesis coupled proton transport	Biological Process
A0A1D8NKW7	cristae formation	Biological Process
A0A1D8NKW7	"proton-transporting ATP synthase activity, rotational mechanism"	Molecular Function
A0A1D8NKW7	protein complex oligomerization	Biological Process
A0A1D8NKW7	ATP hydrolysis coupled cation transmembrane transport	Biological Process
A0A1H6Q524	dihydrofolate reductase activity	Molecular Function
A0A1H6Q524	glycine biosynthetic process	Biological Process
A0A1H6Q524	drug binding	Molecular Function
A0A1H6Q524	tetrahydrofolate biosynthetic process	Biological Process
A0A1H6Q524	NADP binding	Molecular Function
A0A1H6Q524	oxidation-reduction process	Biological Process
A0A1H6Q9J3	endosome	Cellular Component
A0A1H6Q9J3	cytosol	Cellular Component
A0A1H6Q9J3	phosphatidylserine metabolic process	Biological Process
A0A1H6Q9J3	phosphatidylinositol transporter activity	Molecular Function
A0A1H6Q9J3	phospholipid transport	Biological Process
A0A1H6Q9J3	sterol biosynthetic process	Biological Process
A0A1H6Q9J3	response to drug	Biological Process
A0A1H6Q9J3	Golgi to plasma membrane protein transport	Biological Process
A0A1H6Q9J3	cell periphery	Cellular Component
A0A1H6Q9J3	negative regulation of phosphatidylglycerol biosynthetic process	Biological Process
A0A1H6Q9J3	positive regulation of phosphatidylcholine biosynthetic process	Biological Process
A0A1D8NBH7		
A0A1D8NAQ2	cellular protein modification process	Biological Process
A0A1D8NAQ2	hydrolase activity	Molecular Function
A0A1D8NLN8	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NLN8	translation initiation factor activity	Molecular Function
A0A1D8NLN8	ATP-dependent RNA helicase activity	Molecular Function
A0A1D8NLN8	ATP binding	Molecular Function
A0A1D8NLN8	nucleolus	Cellular Component
A0A1D8NLN8	cytoplasm	Cellular Component
A0A1D8NLN8	translational initiation	Biological Process
A0A1D8NLN8	RNA splicing	Biological Process
A0A1D8NLN8	regulation of gene expression	Biological Process
A0A1D8NLN8	RNA secondary structure unwinding	Biological Process
A0A1D8NLN8	"preribosome, small subunit precursor"	Cellular Component
A0A1D8NLN8	catalytic step 2 spliceosome	Cellular Component
